window_size;number_of_epochs;learning_rate
2;41;0.0901;0,851283426099121
2;41;0.0951;0,84399815683323
2;41;0.1001;0,833672549657284
2;41;0.1051;0,823545156014278
2;41;0.1101;0,769586360963081
2;46;0.0001;0,851437933085685
2;46;0.0051;0,852768480816031
2;46;0.0101;0,845885777087221
2;46;0.0151;0,849610135039247
2;46;0.0201;0,852026733807677
2;46;0.0251;0,840227799958999
2;46;0.0301;0,84386451588974
2;46;0.0351;0,849997865983652
2;46;0.0451;0,850428482333609
2;46;0.0501;0,849756953336497
2;46;0.0551;0,852815327053701
2;46;0.0601;0,856340150398402
2;46;0.0651;0,850136639599127
2;46;0.0701;0,852323123416805
2;46;0.0751;0,836857420449872
2;46;0.0801;0,852583467667863
2;46;0.0901;0,836563660482399
2;46;0.0951;0,850249182561601
2;46;0.1001;0,841028587328278
2;46;0.1051;0,852255491282881
2;46;0.1101;0,846765480989873
2;46;0.1151;0,847603873620082
2;51;0.0001;0,846859117335844
2;51;0.0051;0,849799984979938
2;51;0.0151;0,849673696619333
2;51;0.0201;0,849148800800795
2;51;0.0251;0,849663633746381
2;51;0.0301;0,839260101425775
2;51;0.0351;0,852691530569747
2;51;0.0401;0,853167717520869
2;51;0.0451;0,846772147445137
2;51;0.0501;0,850612002067503
2;51;0.0601;0,852433570796445
2;51;0.0651;0,851548716601286
2;51;0.0701;0,849373092519494
2;51;0.0751;0,852387670924611
2;51;0.0801;0,844663872009614
2;51;0.0851;0,852546640227977
2;51;0.0901;0,840012558040777
2;51;0.0951;0,851618236704853
2;51;0.1051;0,851489930138851
2;51;0.1101;0,84629681851155
2;51;0.1151;0,849463835908409
2;56;0.0001;0,848213888292265
2;56;0.0051;0,850502873097838
2;56;0.0101;0,852926996264943
2;56;0.0151;0,848566074105052
2;56;0.0201;0,843866293165149
2;56;0.0301;0,846767974813241
2;56;0.0351;0,849067301574731
2;56;0.0401;0,852210408712189
2;56;0.0451;0,849572497726627
2;56;0.0501;0,847227800909563
2;56;0.0551;0,846420377423405
2;56;0.0601;0,846108715124142
2;56;0.0651;0,849545880887348
2;56;0.0751;0,852113811392238
2;56;0.0801;0,839737401923229
2;56;0.0851;0,851867068135039
2;56;0.0901;0,852034302768194
2;56;0.0951;0,844480414370559
2;56;0.1001;0,845384487436428
2;56;0.1051;0,786333975380349
2;56;0.1101;0,845289592155164
2;61;0.0001;0,851549598267103
2;61;0.0051;0,849886288348711
2;61;0.0101;0,849433930300848
2;61;0.0151;0,849319544151631
2;61;0.0201;0,850844977265718
2;61;0.0251;0,848389708316099
2;61;0.0301;0,845087768305228
2;61;0.0351;0,846420221030646
2;61;0.0451;0,850873480983891
2;61;0.0501;0,852711861707443
2;61;0.0551;0,847084814800448
2;61;0.0601;0,849984434881348
2;61;0.0651;0,851320173089548
2;61;0.0701;0,850382096359457
2;61;0.0751;0,850962981997603
2;61;0.0801;0,84900867246782
2;61;0.0901;0,851880567419179
2;61;0.0951;0,847858171259229
2;61;0.1001;0,852279643357551
2;61;0.1051;0,85216697203313
2;61;0.1101;0,852027969687207
2;61;0.1151;0,714340903707255
2;66;0.0001;0,851238300144919
2;66;0.0051;0,850344261900545
2;66;0.0151;0,851381594420254
2;66;0.0201;0,84948439283719
2;66;0.0251;0,845553562340528
2;66;0.0301;0,850555973659507
2;66;0.0351;0,847505259911752
2;66;0.0401;0,843505508864681
2;66;0.0451;0,845994036294068
2;66;0.0501;0,84549435278169
2;66;0.0601;0,848451609147816
2;66;0.0651;0,846124348057718
2;66;0.0701;0,852085657724658
2;66;0.0751;0,829830518041608
2;66;0.0801;0,851269476512747
2;66;0.0851;0,850191084792024
2;66;0.0901;0,852570793219414
2;66;0.0951;0,842776571890817
2;66;0.1051;0,852567710980376
2;66;0.1101;0,832684453999603
2;66;0.1151;0,852243071376746
2;71;0.0001;0,851625567245744
2;71;0.0051;0,849052018368914
2;71;0.0101;0,84944048697947
2;71;0.0151;0,851557885822302
2;71;0.0201;0,850260331138861
2;71;0.0301;0,850220773122317
2;71;0.0351;0,846604683652341
2;71;0.0401;0,845163358230127
2;71;0.0451;0,846765141009654
2;71;0.0501;0,847714211670237
2;71;0.0551;0,827514744465348
2;71;0.0601;0,845875461139288
2;71;0.0651;0,84395414458811
2;71;0.0751;0,852103024020966
2;71;0.0801;0,852237028970505
2;71;0.0851;0,849289283889931
2;71;0.0901;0,851409287280568
2;71;0.0951;0,843307937957369
2;71;0.1001;0,852323547308102
2;71;0.1051;0,852309686500957
2;71;0.1101;0,851757927528055
2;76;0.0001;0,851337573725066
2;76;0.0051;0,849931603252275
2;76;0.0101;0,849946385094218
2;76;0.0151;0,844510860455362
2;76;0.0201;0,847158934230681
2;76;0.0251;0,852114200802535
2;76;0.0301;0,847236745710398
2;76;0.0351;0,851302597796591
2;76;0.0451;0,850937083750994
2;76;0.0501;0,854644594542779
2;76;0.0551;0,850551305431333
2;76;0.0601;0,84837767658546
2;76;0.0651;0,851418189808426
2;76;0.0701;0,845877268760333
2;76;0.0751;0,850058268206839
2;76;0.0801;0,851146736221297
2;76;0.0901;0,816687143353929
2;76;0.0951;0,848500149737329
2;76;0.1001;0,852574606421806
2;76;0.1051;0,851120389178258
2;76;0.1101;0,714333459805678
2;76;0.1151;0,851912790419288
2;81;0.0001;0,849430359613965
2;81;0.0051;0,846619839292996
2;81;0.0151;0,850794910817234
2;81;0.0201;0,845608229669746
2;81;0.0251;0,852855047635829
2;81;0.0301;0,840033859370527
2;81;0.0351;0,849687418581993
2;81;0.0401;0,849094089302157
2;81;0.0451;0,856214524024313
2;81;0.0501;0,852235415742733
2;81;0.0601;0,849345787726663
2;81;0.0651;0,840492960131243
2;81;0.0701;0,810437901545026
2;81;0.0751;0,839791920320703
2;81;0.0801;0,85215278907487
2;81;0.0851;0,829383155373231
2;81;0.0901;0,851868538934777
2;81;0.0951;0,852522623487624
2;81;0.1051;0,849861411162499
2;81;0.1101;0,851892413456942
2;81;0.1151;0,81804650417865
2;86;0.0001;0,850346646018181
2;86;0.0051;0,850778435444653
2;86;0.0101;0,848630349987377
2;86;0.0151;0,848785351096249
2;86;0.0201;0,838923760950111
2;86;0.0301;0,846400298098638
2;86;0.0351;0,84250025565749
2;86;0.0401;0,846703378675656
2;86;0.0451;0,845907507058697
2;86;0.0501;0,854314436581488
2;86;0.0551;0,855790237154756
2;86;0.0601;0,852258000888477
2;86;0.0651;0,845119044064977
2;86;0.0751;0,847606004218912
2;86;0.0801;0,852014280798997
2;86;0.0851;0,852108562243539
2;86;0.0901;0,84958276553202
2;86;0.0951;0,852202617383148
2;86;0.1001;0,851858841610777
2;86;0.1051;0,843844628580305
2;86;0.1101;0,851898330472907
2;91;0.0001;0,851406084347932
2;91;0.0051;0,848331711993834
2;91;0.0101;0,850257085706378
2;91;0.0151;0,850902522809296
2;91;0.0201;0,85127147226897
2;91;0.0251;0,841614311327917
2;91;0.0301;0,845501364097027
2;91;0.0351;0,849102981125603
2;91;0.0451;0,848952854991706
2;91;0.0501;0,84740839321048
2;91;0.0551;0,852444256570913
2;91;0.0601;0,852261821232135
