<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 1:50:49;13.04.2020 1:50:49;7250.725002;12052.55293609;1021010.47582198;7257.10237445;243.76817121;3135535.33918486;;0;100
13.04.2020 1:50:50;13.04.2020 1:50:50;7250.725002;12052.55293609;1021010.47582198;7257.10237445;243.91643367;3136612.92105003;;0;100
13.04.2020 1:50:51;13.04.2020 1:50:51;7250.725002;12053.76571609;1029715.4766305;7257.10237445;244.58722732;3141492.09541771;;0;100
13.04.2020 1:50:52;13.04.2020 1:50:52;7250.725002;12053.76571609;1029715.4766305;7257.10237445;244.35764746;3139819.69354233;;0;100
13.04.2020 1:50:53;13.04.2020 1:50:53;7250.725002;12053.76571609;1029715.4766305;7257.10237445;243.99775107;3137207.7410484;;0;100
13.04.2020 1:50:55;13.04.2020 1:50:55;7250.725002;12053.76571609;1029715.4766305;7257.10237445;244.58722732;3141492.09540421;;0;100
13.04.2020 1:50:56;13.04.2020 1:50:56;7250.725002;12052.55293609;1021010.47582198;7257.10237445;244.35699619;3139814.75634264;;0;100
13.04.2020 1:50:57;13.04.2020 1:50:57;7250.725002;12052.55293609;1021010.47582198;7257.10237445;243.84883734;3136125.22198994;;0;100
13.04.2020 1:50:58;13.04.2020 1:50:58;7250.725002;12052.55293609;1021010.47582198;7257.10237445;244.50525865;3140892.33819805;;0;100
13.04.2020 1:50:59;13.04.2020 1:50:59;7250.725002;12052.55293609;1021010.47582198;7257.10237445;243.84883734;3136125.22198668;;0;100
13.04.2020 1:51:00;13.04.2020 1:51:00;7250.725002;12052.55293609;1021010.47582198;7257.10237445;243.84883734;3136125.22198499;;0;100
13.04.2020 1:51:02;13.04.2020 1:51:02;7250.725002;12053.76571609;1029715.4766305;7257.10237445;244.58657605;3141484.87437434;;0;100
13.04.2020 1:51:03;13.04.2020 1:51:03;7250.725002;12053.76571609;1029715.4766305;7257.10237445;244.43831359;3140407.29250922;;0;100
13.04.2020 1:51:04;13.04.2020 1:51:04;7250.725002;12053.76571608;1029715.47661111;7258.10237445;243.91508241;3136606.20136785;;0;100
13.04.2020 1:51:05;13.04.2020 1:51:05;7250.725002;12053.76571608;1029730.9098067;7258.10237445;244.3562962;3139812.97384488;;0;100
13.04.2020 1:51:06;13.04.2020 1:51:06;7250.725002;12052.55279658;1021024.89893867;7258.10237445;243.91508241;3136606.20136353;;0;100
13.04.2020 1:51:07;13.04.2020 1:51:07;7250.725002;12052.55293608;1021025.90899818;7258.10237445;243.84745352;3136118.05209437;;0;100
13.04.2020 1:51:09;13.04.2020 1:51:09;7250.725002;12052.55293608;1021025.90899818;7258.10237445;244.35561237;3139807.58641976;;0;100
13.04.2020 1:51:10;13.04.2020 1:51:10;7250.725002;12052.55293608;1021025.90899818;7258.10237445;244.35561237;3139807.58641455;;0;100
13.04.2020 1:51:11;13.04.2020 1:51:11;7250.725002;12053.76504608;1029730.96663294;7258.10237445;243.99571598;3137193.35013026;;0;100
13.04.2020 1:51:12;13.04.2020 1:51:12;7250.725002;12053.76504608;1029730.96663294;7258.10237445;243.76613612;3135523.23208219;;0;100
13.04.2020 1:51:13;13.04.2020 1:51:13;7250.725002;12053.76504608;1029730.96663294;7258.10237445;244.50387483;3140885.16825818;;0;100
13.04.2020 1:51:15;13.04.2020 1:51:15;7250.725002;12053.76504608;1029730.96663294;7258.10237445;243.91439858;3136600.81393407;;0;100
13.04.2020 1:51:16;13.04.2020 1:51:16;7250.725002;12053.76504608;1029730.96663294;7258.10237445;244.35561237;3139807.58639512;;0;100
