<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 0:16:42;13.04.2020 0:16:42;7325.47500303;12207.71893571;2044189.26529157;7341.42736572;394.30515133;4332831.93181653;;0;100
13.04.2020 0:16:43;13.04.2020 0:16:43;7325.47500606;12207.73693571;2044320.98317252;7341.42736269;394.59291091;4334944.59781705;;0;100
13.04.2020 0:16:43;13.04.2020 0:16:43;7325.47500808;12208.93679571;2053025.96867301;7341.42736067;394.32315133;4332964.17745325;;0;100
13.04.2020 0:16:44;13.04.2020 0:16:44;7325.47501011;12208.9163151;2052875.93847722;7341.42735864;394.32315133;4332964.17745176;;0;100
13.04.2020 0:16:45;13.04.2020 0:16:45;7325.47501212;12208.9163151;2052875.93847775;7341.42735663;394.32315133;4332964.17745061;;0;100
13.04.2020 0:16:45;13.04.2020 0:16:45;7325.47520201;12208.74279159;2051610.50974607;7341.42735461;393.98515133;4330471.84276963;;0;100
13.04.2020 0:16:46;13.04.2020 0:16:46;7326.03910101;12208.93679159;2053029.99317812;7341.42735258;394.59291091;4334937.57725034;;0;100
13.04.2020 0:16:47;13.04.2020 0:16:47;7326.597101;12208.93729762;2053029.38215949;7341.42735056;394.59291091;4334944.60806572;;0;100
13.04.2020 0:16:48;13.04.2020 0:16:48;7326.59710303;12207.73743762;2044324.39846026;7335;394.58935321;4334914.94354088;;0;100
13.04.2020 0:16:48;13.04.2020 0:16:48;7326.59710505;12207.73743762;2044321.01288861;7335;394.81707247;4336591.28754099;;0;100
13.04.2020 0:16:49;13.04.2020 0:16:49;7327.3269;12207.73743762;2044321.02783308;7335;394.54731289;4334612.19454911;;0;100
13.04.2020 0:16:50;13.04.2020 0:16:50;7327.32690302;12207.71943762;2044189.58718821;7335;394.52931289;4334479.9750091;;0;100
13.04.2020 0:16:51;13.04.2020 0:16:51;7327.32690504;12207.71943762;2044189.58718885;7335;394.79907247;4336460.39536723;;0;100
13.04.2020 0:16:51;13.04.2020 0:16:51;7327.32690707;12207.71943762;2044189.58718958;7335;394.79907247;4336460.39536723;;0;100
13.04.2020 0:16:52;13.04.2020 0:16:52;7327.32691009;12207.71943762;2044189.58719044;7335;394.52931289;4334479.97500911;;0;100
13.04.2020 0:16:53;13.04.2020 0:16:53;7328.174101;12207.71943762;2044189.78881905;7335;394.52931289;4334479.9750091;;0;100
13.04.2020 0:16:54;13.04.2020 0:16:54;7328.17410302;12208.93729762;2053026.54071696;7335;394.81707247;4336595.10133335;;0;100
13.04.2020 0:16:54;13.04.2020 0:16:54;7328.17410604;12208.93729762;2053026.54071781;7335;394.85707247;4336895.10133335;;0;100
13.04.2020 0:16:55;13.04.2020 0:16:55;7328.17410806;12208.93729762;2053026.54071845;7335;394.85707247;4336895.10133335;;0;100
13.04.2020 0:16:56;13.04.2020 0:16:56;7328.82040101;12208.93012351;2052975.03580789;7335;394.85707247;4336895.10709335;;0;100
13.04.2020 0:16:57;13.04.2020 0:16:57;7328.82040403;12208.93012351;2052975.03850875;7335;394.85707247;4336895.10709335;;0;100
13.04.2020 0:16:57;13.04.2020 0:16:57;7328.82040605;12208.93012351;2052975.03850938;7335;394.85707247;4336895.10709335;;0;100
13.04.2020 0:16:58;13.04.2020 0:16:58;7328.82040808;12208.93012351;2052975.03851012;7335;394.85707247;4336895.10709335;;0;100
13.04.2020 0:16:59;13.04.2020 0:16:59;7329.3957;12207.73024581;2044270.06457793;7335;394.85707247;4336895.10709335;;0;100
13.04.2020 0:17:00;13.04.2020 0:17:00;7329.39570302;12207.73024581;2044270.25055859;7335;394.93247646;4337445.92928461;;0;100
13.04.2020 0:17:00;13.04.2020 0:17:00;7329.39570505;12207.73024581;2044270.25055932;7335;395.20223604;4339433.36649876;;0;100
13.04.2020 0:17:01;13.04.2020 0:17:01;7329.39570807;12207.73024581;2044270.25056018;7335;395.20223604;4339433.36649876;;0;100
13.04.2020 0:17:02;13.04.2020 0:17:02;7329.39571009;12207.73024581;2044270.25056082;7335;395.20223604;4339433.36649876;;0;100
13.04.2020 0:17:03;13.04.2020 0:17:03;7329.39571212;12207.73024581;2044270.25056155;7335;395.20113824;4339424.96284243;;0;100
13.04.2020 0:17:03;13.04.2020 0:17:03;7329.39571514;12207.71694343;2044171.89492109;7335;395.20223604;4339433.36649876;;0;100
13.04.2020 0:17:04;13.04.2020 0:17:04;7329.39571716;12208.91680343;2052876.88042157;7335;395.20223604;4339433.36649876;;0;100
13.04.2020 0:17:05;13.04.2020 0:17:05;7325.0001;12208.93728125;2053025.18339656;7335;395.18423604;4339301.14335876;;0;100
13.04.2020 0:17:06;13.04.2020 0:17:06;7325.00010301;12208.91680343;2052875.4584942;7335;395.18423604;4339294.85233456;;0;100
13.04.2020 0:17:06;13.04.2020 0:17:06;7325.69920202;12208.93728125;2053025.69614422;7335;395.20223604;4339426.66039789;;0;100
13.04.2020 0:17:07;13.04.2020 0:17:07;7326.59790201;12208.93728125;2053026.00008651;7335;395.20223604;4339426.4189608;;0;100
13.04.2020 0:17:08;13.04.2020 0:17:08;7326.59790302;12208.92357314;2052926.00678735;7335;395.12238342;4338838.00985554;;0;100
13.04.2020 0:17:08;13.04.2020 0:17:08;7326.59790302;12208.90557314;2052794.33804725;7335;395.18423604;4339294.12121091;;0;100
13.04.2020 0:17:09;13.04.2020 0:17:09;7326.59790504;12207.70571314;2044089.35254812;7334.99999999;394.91447646;4337315.77279347;;0;100
13.04.2020 0:17:10;13.04.2020 0:17:10;7327.44130101;12207.72371314;2044221.3052637;7334.99999999;394.93247646;4337444.91089223;;0;100
13.04.2020 0:17:11;13.04.2020 0:17:11;7327.44130303;12207.68978724;2043975.75638392;7334.99999999;394.93247646;4337441.32397422;;0;100
13.04.2020 0:17:11;13.04.2020 0:17:11;7327.44130506;12207.72369554;2044221.31333571;7334.99999999;395.20223604;4339428.76118837;;0;100
13.04.2020 0:17:12;13.04.2020 0:17:12;7327.44130708;12207.72369554;2044221.31333634;7334.99999999;395.20223604;4339428.76118837;;0;100
13.04.2020 0:17:13;13.04.2020 0:17:13;7327.4413101;12207.72369554;2044221.3133372;7334.99999999;395.20223604;4339428.76118837;;0;100
13.04.2020 0:17:14;13.04.2020 0:17:14;7327.44131212;12208.92370554;2052926.34568442;7334.99999999;395.20223604;4339428.76118837;;0;100
13.04.2020 0:17:14;13.04.2020 0:17:14;7327.44130302;12208.92370554;2052926.34568146;7334.99999999;395.20223604;4339428.76118837;;0;100
13.04.2020 0:17:15;13.04.2020 0:17:15;7327.44130503;12208.92370554;2052926.3456821;7334.99999999;394.58731289;4334912.69740049;;0;100
13.04.2020 0:17:16;13.04.2020 0:17:16;7327.44130806;12208.92370554;2052926.34568305;7334.99999999;394.85707247;4336894.01407542;;0;100
13.04.2020 0:17:17;13.04.2020 0:17:17;7328.181201;12208.92370554;2052926.525016;7334.99999999;394.85707247;4336894.02073542;;0;100
13.04.2020 0:17:17;13.04.2020 0:17:17;7328.18120202;12208.72253143;2051459.44673842;7334.99999999;394.85707247;4336894.02073542;;0;100
13.04.2020 0:17:18;13.04.2020 0:17:18;7328.18120504;12208.81953143;2052168.16729249;7334.99999999;394.85707247;4336894.02073542;;0;100
13.04.2020 0:17:19;13.04.2020 0:17:19;7328.18120706;12207.71652143;2044169.8432045;7334.99999999;394.85707247;4336894.02073542;;0;100
13.04.2020 0:17:20;13.04.2020 0:17:20;7328.18120909;12207.71652143;2044169.84320524;7334.99999999;394.85707247;4336894.02073542;;0;100
13.04.2020 0:17:20;13.04.2020 0:17:20;7328.1812111;12207.69604361;2044019.77803022;7334.99999898;394.58731289;4334912.88257801;;0;100
13.04.2020 0:17:21;13.04.2020 0:17:21;7328.18121211;12207.69604361;2044019.77803054;7334.99999999;394.24931289;4332420.54789852;;0;100
13.04.2020 0:17:22;13.04.2020 0:17:22;7328.18121414;12207.69604361;2044019.77803128;7334.99999999;394.41831289;4333663.21894786;;0;100
13.04.2020 0:17:23;13.04.2020 0:17:23;7328.18121716;12207.69604361;2044019.77803213;7334.99999999;394.85707247;4336892.26262148;;0;100
