<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 1:43:25;13.04.2020 1:43:25;7250;12052.04587916;1017785.01873392;7253.34268688;244.55676195;3141108.66529376;;0;100
13.04.2020 1:43:26;13.04.2020 1:43:26;7250;12053.25976916;1026490.00709546;7253.34268284;244.55676195;3141108.66529195;;0;100
13.04.2020 1:43:27;13.04.2020 1:43:27;7250;12053.25976916;1026490.00709546;7253.3426798;244.55676195;3141108.66529049;;0;100
13.04.2020 1:43:29;13.04.2020 1:43:29;7250;12053.25976916;1026490.00709546;7253.34267577;244.55676195;3141108.6652888;;0;100
13.04.2020 1:43:30;13.04.2020 1:43:30;7250;12053.25976916;1026488.92031349;7253.34267273;244.55676195;3141108.66528734;;0;100
13.04.2020 1:43:31;13.04.2020 1:43:31;7250;12053.25962953;1026487.91024962;7253.3426677;244.55676195;3141092.73863884;;0;100
13.04.2020 1:43:32;13.04.2020 1:43:32;7250;12052.04587916;1017785.01873393;7253.34266466;244.55676195;3141092.73863738;;0;100
13.04.2020 1:43:33;13.04.2020 1:43:33;7250;12051.72787916;1015476.31316903;7253.34266265;244.55676195;3141092.73863659;;0;100
13.04.2020 1:43:34;13.04.2020 1:43:34;7250;12051.88787916;1016628.31316903;7253.34265861;244.55676195;3141073.69076901;;0;100
13.04.2020 1:43:35;13.04.2020 1:43:35;7250;12052.04787916;1017777.11316903;7253.34249697;244.55611068;3141068.93563082;;0;100
13.04.2020 1:43:37;13.04.2020 1:43:37;7250;12053.26176916;1026482.10153057;7253.34249294;244.55611068;3141068.93562912;;0;100
13.04.2020 1:43:38;13.04.2020 1:43:38;7250;12053.26176916;1026482.10153057;7253.342299;244.56300405;3141118.93553561;;0;100
13.04.2020 1:43:39;13.04.2020 1:43:39;7250;12053.26176916;1026482.10153057;7253.3424889;244.44811068;3140279.91200795;;0;100
13.04.2020 1:43:40;13.04.2020 1:43:40;7250;12036.11317916;902918.33732415;7253.34248486;245.05211068;3144674.07731691;;0;100
13.04.2020 1:43:41;13.04.2020 1:43:41;7250;12052.04787916;1017517.65168183;7253.34248182;244.66411068;3141848.70790222;;0;100
13.04.2020 1:43:42;13.04.2020 1:43:42;7250;12052.04787916;1017517.65168183;7253.342299;244.55611068;3141065.346852;;0;100
13.04.2020 1:43:43;13.04.2020 1:43:43;7250;12053.53787916;1028287.31842203;7253.34247475;244.55611068;3141068.9040995;;0;100
13.04.2020 1:43:45;13.04.2020 1:43:45;7250;12052.04787916;1017539.04440113;7253.34247072;244.55611068;3141068.90409781;;0;100
13.04.2020 1:43:46;13.04.2020 1:43:46;7250;12053.26176916;1026244.03276267;7253.34246668;244.55611068;3141068.90409601;;0;100
13.04.2020 1:43:47;13.04.2020 1:43:47;7250;12053.26176916;1026244.03276267;7253.34246364;244.55542685;3141063.8984059;;0;100
13.04.2020 1:43:48;13.04.2020 1:43:48;7250;12053.26162953;1026244.13420305;7253.34245961;244.51956649;3140803.44962999;;0;100
13.04.2020 1:43:49;13.04.2020 1:43:49;7250;12053.26176916;1026245.1620684;7253.3423;244.56232022;3141113.89837495;;0;100
13.04.2020 1:43:50;13.04.2020 1:43:50;7250;12052.05122421;1017563.78975986;7253.34229597;244.55542685;3141063.89833127;;0;100
13.04.2020 1:43:51;13.04.2020 1:43:51;7250;12052.0512242;1017563.78974895;7258.10237143;243.29702838;3131920.04943792;;0;100
13.04.2020 1:43:53;13.04.2020 1:43:53;7250;12052.05122419;1017563.78979248;7258.10236839;244.07395062;3137562.94676767;;0;100
13.04.2020 1:43:54;13.04.2020 1:43:54;7250;12052.05122417;1017563.78973852;7258.10236436;244.55542689;3141091.09619603;;0;100
13.04.2020 1:43:55;13.04.2020 1:43:55;7250;12052.05122416;1017563.78973036;7258.10236132;243.96595065;3136784.51585698;;0;100
13.04.2020 1:43:56;13.04.2020 1:43:56;7250;12053.26459416;1026268.83681788;7258.10235729;244.5554269;3141091.09626553;;0;100
13.04.2020 1:43:58;13.04.2020 1:43:58;7250;12053.26459416;1026268.83681788;7258.10235527;244.5554269;3141091.09626463;;0;100
13.04.2020 1:43:59;13.04.2020 1:43:59;7250;12053.26459416;1026268.83681788;7258.10235224;243.96523262;3136779.24575719;;0;100
