<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 1:51:37;13.04.2020 1:51:37;7250.725002;12052.55293607;1021039.82523546;7259.10237445;244.44032152;3140427.7712878;;0;100
13.04.2020 1:51:38;13.04.2020 1:51:38;7250.725002;12052.55293607;1021039.82523546;7259.10237445;244.58858398;3141505.35312782;;0;100
13.04.2020 1:51:40;13.04.2020 1:51:40;7250.725002;12052.55293607;1021039.82523546;7259.10237445;243.85084527;3136141.13318998;;0;100
13.04.2020 1:51:41;13.04.2020 1:51:41;7250.725002;12053.76551607;1029744.8602319;7259.10237445;243.9983161;3137214.05578771;;0;100
13.04.2020 1:51:42;13.04.2020 1:51:42;7250.725002;12053.76551607;1029744.8602319;7259.10237445;244.58779235;3141496.12624018;;0;100
13.04.2020 1:51:43;13.04.2020 1:51:43;7250.725002;12053.76551607;1029744.8602319;7259.10237445;244.50647495;3140903.5900482;;0;100
13.04.2020 1:51:44;13.04.2020 1:51:44;7250.725002;12053.76551607;1029744.8602319;7259.10237445;244.43952989;3140420.82820569;;0;100
13.04.2020 1:51:45;13.04.2020 1:51:45;7250.725002;12053.76551607;1029744.8602319;7259.10237445;243.85005364;3136134.19012243;;0;100
13.04.2020 1:51:47;13.04.2020 1:51:47;7250.725002;12052.55279658;1021038.81515629;7259.10237445;243.8811382;3136358.52061296;;0;100
13.04.2020 1:51:48;13.04.2020 1:51:48;7250.725002;12052.55293607;1021039.82523546;7259.10237445;244.35821249;3139826.00818862;;0;100
13.04.2020 1:51:49;13.04.2020 1:51:49;7250.725002;12052.55293607;1021039.82523546;7259.10237445;243.9983161;3137211.77195674;;0;100
13.04.2020 1:51:50;13.04.2020 1:51:50;7250.725002;12052.55279658;1021039.33168003;7259.10237445;243.55273624;3133964.69168985;;0;100
13.04.2020 1:51:51;13.04.2020 1:51:51;7250.725002;12053.76600607;1029745.35735096;7259.10237445;244.24938128;3139028.4730324;;0;100
13.04.2020 1:51:52;13.04.2020 1:51:52;7250.725002;12053.76600607;1029745.35735096;7259.10237445;243.91616749;3136611.69833464;;0;100
13.04.2020 1:51:54;13.04.2020 1:51:54;7250.725002;12053.76600607;1029745.35735096;7259.10237445;244.35738128;3139818.47074494;;0;100
13.04.2020 1:51:55;13.04.2020 1:51:55;7250.725002;12053.76600607;1029745.35735096;7259.10237445;243.99748489;3137206.51833541;;0;100
13.04.2020 1:51:56;13.04.2020 1:51:56;7250.725002;12053.76600607;1029745.35735096;7259.10237445;244.50564374;3140896.05257304;;0;100
13.04.2020 1:51:57;13.04.2020 1:51:57;7250.725002;12051.72393607;1015052.13037893;7259.10237445;241.94390503;3122243.16019062;;0;100
13.04.2020 1:51:58;13.04.2020 1:51:58;7250.725002;12052.55193607;1021034.33612971;7259.10237445;243.99748489;3137221.96753011;;0;100
13.04.2020 1:52:00;13.04.2020 1:52:00;7250.725002;12052.55179658;1021033.32605054;7259.10237445;244.55110064;3141245.60660728;;0;100
13.04.2020 1:52:01;13.04.2020 1:52:01;7250.725002;12052.55193607;1021034.33612971;7259.10237445;243.95722243;3136927.74211553;;0;100
13.04.2020 1:52:02;13.04.2020 1:52:02;7250.725002;12052.55193607;1021034.33612971;7259.10237445;243.99748489;3137221.96752336;;0;100
13.04.2020 1:52:03;13.04.2020 1:52:03;7250.725002;12053.75018279;1029639.39381548;7259.10237445;244.35738128;3139833.92291677;;0;100
13.04.2020 1:52:04;13.04.2020 1:52:04;7250.725002;12053.7500433;1029638.38674437;7259.10237445;243.84922243;3136144.38868872;;0;100
13.04.2020 1:52:05;13.04.2020 1:52:05;7250.725002;12053.75018279;1029639.39682354;7259.10237445;244.58696114;3141506.32474618;;0;100
13.04.2020 1:52:07;13.04.2020 1:52:07;7250.725002;12052.53807279;1020934.33918878;7259.10237445;244.35738128;3139833.92290468;;0;100
13.04.2020 1:52:08;13.04.2020 1:52:08;7250.725002;12052.53807279;1020934.33918878;7259.10237445;243.76790503;3135549.56867846;;0;100
13.04.2020 1:52:09;13.04.2020 1:52:09;7250.725002;12052.53807279;1020934.33918878;7259.10237445;244.58696114;3141504.72967179;;0;100
13.04.2020 1:52:10;13.04.2020 1:52:10;7250.725002;12052.53785461;1020933.08076242;7259.10237445;243.84922243;3136144.38868028;;0;100
13.04.2020 1:52:11;13.04.2020 1:52:11;7250.725002;12053.74984842;1029637.40967453;7259.10237445;244.43869868;3140427.14783464;;0;100
13.04.2020 1:52:12;13.04.2020 1:52:12;7250.725002;12053.74996463;1029638.13852262;7259.10237445;243.99748489;3137220.37544495;;0;100
13.04.2020 1:52:14;13.04.2020 1:52:14;7250.725002;12053.75018265;1029639.39602613;7259.10237445;244.35738128;3139833.92288286;;0;100
13.04.2020 1:52:15;13.04.2020 1:52:15;7250.725002;12053.75018265;1029639.39602613;7259.10237445;244.50564374;3140911.50470477;;0;100
13.04.2020 1:52:16;13.04.2020 1:52:16;7250.725002;12053.75018265;1029639.39602613;7259.10237445;243.99748489;3137220.37543823;;0;100
13.04.2020 1:52:17;13.04.2020 1:52:17;7250.725002;12052.53807265;1020934.33839137;7259.10237445;244.58696114;3141506.32470211;;0;100
13.04.2020 1:52:18;13.04.2020 1:52:18;7250.725002;12052.53807265;1020934.33839137;7259.10237445;243.84922243;3136142.79360841;;0;100
13.04.2020 1:52:20;13.04.2020 1:52:20;7250.725002;12052.53807265;1020934.33839137;7259.10237445;244.54669868;3141212.09928516;;0;100
13.04.2020 1:52:21;13.04.2020 1:52:21;7250.725002;12053.75018265;1029639.39602613;7259.10237445;243.99748489;3137220.37542951;;0;100
13.04.2020 1:52:22;13.04.2020 1:52:22;7250.725002;12053.75018265;1029639.39602613;7259.10237445;243.78148489;3135643.41319101;;0;100
