<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 0:53:57;13.04.2020 0:53:57;7346.07980007;12205.92740199;2063508.93866983;7356.41016875;394.76671384;4339356.92732468;;0;100
13.04.2020 0:53:57;13.04.2020 0:53:57;7346.08080009;12205.91719246;2063433.93921691;7356.41016773;394.76671384;4339356.92732356;;0;100
13.04.2020 0:53:57;13.04.2020 0:53:57;7346.08080009;12205.91719246;2063433.93921691;7356.41016672;394.76671384;4339356.92732266;;0;100
13.04.2020 0:53:58;13.04.2020 0:53:58;7346.08080009;12205.91719246;2063433.93921691;7356.41016572;394.76671384;4339356.92732195;;0;100
13.04.2020 0:53:58;13.04.2020 0:53:58;7346.08080009;12205.91719246;2063433.93921691;7356.41016471;394.68705122;4338769.81381165;;0;100
13.04.2020 0:53:58;13.04.2020 0:53:58;7346.08180011;12205.91719246;2063433.93977792;7356.4101647;394.74125676;4339169.30864125;;0;100
13.04.2020 0:53:58;13.04.2020 0:53:58;7346.08180011;12205.91719246;2063433.93977792;7356.41016369;394.76671384;4339356.92731993;;0;100
13.04.2020 0:53:59;13.04.2020 0:53:59;7346.08180011;12204.71990246;2054728.89794738;7356.41016269;394.76671384;4339356.92731922;;0;100
13.04.2020 0:53:59;13.04.2020 0:53:59;7346.08180011;12204.71990246;2054728.89794738;7356.41016168;394.76671384;4339356.92731831;;0;100
13.04.2020 0:53:59;13.04.2020 0:53:59;7346.08280012;12204.71990246;2054728.89844339;7356.41016067;394.76671384;4339356.9273174;;0;100
13.04.2020 0:53:59;13.04.2020 0:53:59;7346.08280013;12204.71990246;2054728.89850839;7356.41016066;394.76671384;4339356.9273172;;0;100
13.04.2020 0:54:00;13.04.2020 0:54:00;7346.08280013;12204.71990246;2054728.89850839;7356.41015965;394.76671384;4339356.9273163;;0;100
13.04.2020 0:54:00;13.04.2020 0:54:00;7346.083;12204.73011198;2054803.8984897;7356.41015865;394.76671384;4339356.92731559;;0;100
13.04.2020 0:54:00;13.04.2020 0:54:00;7346.08380014;12204.73011198;2054803.89899871;7356.41015764;394.76671384;4339356.92731467;;0;100
13.04.2020 0:54:00;13.04.2020 0:54:00;7346.08380015;12204.73011198;2054803.89905071;7356.41015663;394.76671384;4339356.92731377;;0;100
13.04.2020 0:54:01;13.04.2020 0:54:01;7346.08380015;12204.73011198;2054803.89905071;7356.41015562;394.76671384;4339356.92731286;;0;100
13.04.2020 0:54:01;13.04.2020 0:54:01;7346.08380015;12204.73011198;2054803.89905071;7356.41015561;394.76671384;4339356.92731266;;0;100
13.04.2020 0:54:01;13.04.2020 0:54:01;7346.08480016;12204.73011198;2054803.89954672;7356.41015461;394.76671384;4339356.92731195;;0;100
13.04.2020 0:54:01;13.04.2020 0:54:01;7346.08480017;12204.73011198;2054803.89961173;7356.4101536;394.76671384;4339356.92731105;;0;100
13.04.2020 0:54:02;13.04.2020 0:54:02;7346.08480017;12204.71990246;2054730.33594362;7356.41015259;394.76671384;4339356.92731013;;0;100
13.04.2020 0:54:02;13.04.2020 0:54:02;7346.08480017;12204.71990246;2054730.33594362;7356.41015258;394.68705122;4338769.81380054;;0;100
13.04.2020 0:54:02;13.04.2020 0:54:02;7346.08580018;12204.71990246;2054730.33643963;7356.41015158;394.68705122;4338769.81379983;;0;100
13.04.2020 0:54:02;13.04.2020 0:54:02;7346.08580019;12204.71990246;2054730.33650463;7356.41015057;394.76561604;4339348.50441424;;0;100
13.04.2020 0:54:03;13.04.2020 0:54:03;7346.08580019;12204.71990246;2054730.33650463;7356.41014956;394.76671384;4339356.9171835;;0;100
13.04.2020 0:54:03;13.04.2020 0:54:03;7346.0858002;12204.71990246;2054730.3397079;7356.41014855;394.76671384;4339356.91718259;;0;100
13.04.2020 0:54:03;13.04.2020 0:54:03;7346.08680021;12204.71990246;2054730.34026891;7356.41014754;394.68705122;4338769.80367228;;0;100
13.04.2020 0:54:04;13.04.2020 0:54:04;7346.08680021;12204.71990246;2054730.34026891;7356.41014754;394.68705122;4338769.80367228;;0;100
