<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 0:55:12;13.04.2020 0:55:12;7348.59190055;12204.16351181;2050606.46940136;7362.5295889;394.33881286;4336198.37308203;;0;100
13.04.2020 0:55:13;13.04.2020 0:55:13;7348.59190056;12204.16351181;2050606.46940139;7362.5295889;394.14173882;4334746.88733722;;0;100
13.04.2020 0:55:13;13.04.2020 0:55:13;7348.59190057;12204.22951181;2051090.15504627;7362.5295889;378.40713882;4217969.54374421;;0;100
13.04.2020 0:55:13;13.04.2020 0:55:13;7348.59190057;12188.29481181;1934311.58466069;7362.5295889;394.53881286;4337634.6951881;;0;100
13.04.2020 0:55:13;13.04.2020 0:55:13;7348.59190057;12204.22951181;2051090.15504675;7362.5295889;394.34173882;4336183.20944389;;0;100
13.04.2020 0:55:14;13.04.2020 0:55:14;7348.59190057;12204.29551181;2051571.96164675;7362.5295889;394.51628174;4337479.71347171;;0;100
13.04.2020 0:55:14;13.04.2020 0:55:14;7348.59190057;12204.29551181;2051571.96164675;7362.5295889;394.93881286;4340591.73114987;;0;100
13.04.2020 0:55:14;13.04.2020 0:55:14;7348.59190057;12188.36081181;1934793.39126069;7362.5295889;394.54173882;4337667.20944201;;0;100
13.04.2020 0:55:14;13.04.2020 0:55:14;7348.59190057;12204.29551181;2051578.80756084;7362.5295889;394.73881286;4339118.65531816;;0;100
13.04.2020 0:55:15;13.04.2020 0:55:15;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.73881286;4339118.65531724;;0;100
13.04.2020 0:55:15;13.04.2020 0:55:15;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.54173882;4337667.16957476;;0;100
13.04.2020 0:55:15;13.04.2020 0:55:15;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.73881286;4339118.65531569;;0;100
13.04.2020 0:55:15;13.04.2020 0:55:15;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.96426994;4340779.18724983;;0;100
13.04.2020 0:55:16;13.04.2020 0:55:16;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.54173882;4337667.16957219;;0;100
13.04.2020 0:55:16;13.04.2020 0:55:16;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.66414481;4338568.71169803;;0;100
13.04.2020 0:55:16;13.04.2020 0:55:16;7348.59190057;12205.49234181;2060283.83065152;7362.5295889;394.76426994;4339306.15128354;;0;100
13.04.2020 0:55:16;13.04.2020 0:55:16;7348.59190057;12205.49951251;2060335.55530779;7362.5295889;394.51628174;4337479.67359764;;0;100
13.04.2020 0:55:17;13.04.2020 0:55:17;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.73881286;4339118.65531003;;0;100
13.04.2020 0:55:17;13.04.2020 0:55:17;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.76426994;4339306.15128101;;0;100
13.04.2020 0:55:17;13.04.2020 0:55:17;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.51628174;4337479.67359582;;0;100
13.04.2020 0:55:18;13.04.2020 0:55:18;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.76426994;4339306.15127866;;0;100
13.04.2020 0:55:18;13.04.2020 0:55:18;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.76426994;4339306.15127845;;0;100
13.04.2020 0:55:18;13.04.2020 0:55:18;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.51628174;4337479.6735938;;0;100
13.04.2020 0:55:18;13.04.2020 0:55:18;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.76426994;4339306.15127633;;0;100
13.04.2020 0:55:19;13.04.2020 0:55:19;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.54173882;4337667.16956374;;0;100
13.04.2020 0:55:19;13.04.2020 0:55:19;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.51628174;4337479.67359128;;0;100
13.04.2020 0:55:19;13.04.2020 0:55:19;7348.59190059;12205.49951251;2060335.55530782;7362.5295889;394.76426994;4339306.15127289;;0;100
13.04.2020 0:55:19;13.04.2020 0:55:19;7348.59190061;12205.49951251;2060335.55530786;7362.5295889;394.51628174;4337479.67359016;;0;100
13.04.2020 0:55:20;13.04.2020 0:55:20;7348.59190061;12205.49951251;2060335.55530786;7362.5295889;394.51628174;4337479.67358945;;0;100
13.04.2020 0:55:20;13.04.2020 0:55:20;7348.59190061;12205.49951251;2060335.55530786;7362.5295889;394.76426994;4339306.15127057;;0;100
13.04.2020 0:55:20;13.04.2020 0:55:20;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.51628174;4337479.67358764;;0;100
13.04.2020 0:55:20;13.04.2020 0:55:20;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.76426994;4339306.15126895;;0;100
13.04.2020 0:55:21;13.04.2020 0:55:21;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.54173882;4337667.16955723;;0;100
13.04.2020 0:55:21;13.04.2020 0:55:21;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.53664784;4337629.673483;;0;100
13.04.2020 0:55:21;13.04.2020 0:55:21;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.98463604;4340929.18710378;;0;100
13.04.2020 0:55:21;13.04.2020 0:55:21;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.53664784;4337629.67348208;;0;100
13.04.2020 0:55:22;13.04.2020 0:55:22;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.61131589;4338179.61708711;;0;100
13.04.2020 0:55:22;13.04.2020 0:55:22;7348.59190061;12204.30268251;2051630.53221718;7362.5295889;394.78463604;4339456.13762333;;0;100
13.04.2020 0:55:22;13.04.2020 0:55:22;7348.59190061;12204.30268251;2051630.52825718;7362.5295889;394.53664784;4337629.05993919;;0;100
13.04.2020 0:55:23;13.04.2020 0:55:23;7348.59190061;12204.30268251;2051630.52825718;7362.5295889;394.78463604;4339459.25393556;;0;100
13.04.2020 0:55:23;13.04.2020 0:55:23;7348.59190063;12204.30268251;2051630.52825722;7362.5295889;394.70996799;4338909.35987088;;0;100
13.04.2020 0:55:23;13.04.2020 0:55:23;7348.59190063;12204.30268251;2051630.52825722;7362.5295889;394.68451091;4338721.88079265;;0;100
13.04.2020 0:55:23;13.04.2020 0:55:23;7348.59190063;12204.30268251;2051630.52825722;7362.5295889;394.78463604;4339459.25393333;;0;100
13.04.2020 0:55:24;13.04.2020 0:55:24;7348.59190063;12204.30268251;2051630.52825722;7362.5295889;394.70996799;4338909.359869;;0;100
13.04.2020 0:55:24;13.04.2020 0:55:24;7348.59190063;12204.30268251;2051630.52825722;7362.5295889;394.7795469;4339421.77473784;;0;100
