<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
12.04.2020 22:35:44;12.04.2020 22:35:44;7353.00523542;12208.88755448;2059855.37841646;7376.0199993;390.61746996;4311410.09906909;;0;100
12.04.2020 22:35:45;12.04.2020 22:35:45;7353.00523845;12208.88755448;2059855.37841934;7376.0199993;391.09453638;4314929.40641645;;0;100
12.04.2020 22:35:46;12.04.2020 22:35:46;7353.00524047;12208.84790436;2059563.83089254;7376.0199993;390.50889342;4310609.13171638;;0;100
12.04.2020 22:35:47;12.04.2020 22:35:47;7353.00524048;12208.88755448;2059854.18477499;7376.0199993;390.61746996;4311410.0976949;;0;100
12.04.2020 22:35:47;12.04.2020 22:35:47;7353.00524349;12207.6570937;2050903.06805289;7376.0199993;391.20311292;4315730.37050907;;0;100
12.04.2020 22:35:48;12.04.2020 22:35:48;7353.00524451;12207.6570937;2050903.06805384;7376.0199993;391.17124374;4315495.27120663;;0;100
12.04.2020 22:35:49;12.04.2020 22:35:49;7353.00524653;12207.6570937;2050903.0680559;7376.0199993;391.09453638;4314929.40236579;;0;100
12.04.2020 22:35:50;12.04.2020 22:35:50;7353.00524655;12206.08912448;2039372.58849268;7376.0199993;390.50889342;4310609.12951233;;0;100
12.04.2020 22:35:50;12.04.2020 22:35:50;7353.00524856;12207.68352734;2051098.63070304;7376.0199993;390.69417732;4311975.96310331;;0;100
12.04.2020 22:35:51;12.04.2020 22:35:51;7353.00525059;12207.64387722;2050807.08316467;7376.0199993;391.17124374;4315495.26756651;;0;100
12.04.2020 22:35:52;12.04.2020 22:35:52;7353.00525361;12208.84024722;2059512.06879251;7376.0199993;391.17124374;4315495.26684915;;0;100
12.04.2020 22:35:53;12.04.2020 22:35:53;7353.00525564;12209.05124722;2061063.55290329;7376.0199993;390.50889342;4310609.1278593;;0;100
12.04.2020 22:35:53;12.04.2020 22:35:53;7353.00525866;12208.88029734;2059806.55735995;7376.0199993;390.61746996;4311410.09307778;;0;100
12.04.2020 22:35:54;12.04.2020 22:35:54;7353.00525564;12208.84064722;2059513.80913843;7376.0199993;391.20930767;4315777.51704017;;0;100
12.04.2020 22:35:55;12.04.2020 22:35:55;7353.00525768;12208.84024722;2059510.86793676;7376.0199993;391.28868422;4316363.07448069;;0;100
12.04.2020 22:35:56;12.04.2020 22:35:56;7353.0052577;12208.84064722;2059513.80915181;7376.0199993;390.51508817;4310656.28139905;;0;100
12.04.2020 22:35:57;12.04.2020 22:35:57;7353.00525771;12208.88029734;2059800.95369263;7376.0199993;390.70304126;4312042.80440217;;0;100
12.04.2020 22:35:57;12.04.2020 22:35:57;7353.00525771;12208.87796423;2059783.95374701;7376.0199993;391.2557564;4316120.16343449;;0;100
12.04.2020 22:35:58;12.04.2020 22:35:58;7353.00525772;12208.88516137;2059835.67841153;7376.0199993;391.2007564;4315714.42966537;;0;100
12.04.2020 22:35:59;12.04.2020 22:35:59;7353.00525773;12208.84511125;2059541.18966862;7376.0199993;391.28013295;4316299.98637174;;0;100
12.04.2020 22:36:00;12.04.2020 22:36:00;7353.00525776;12208.88749988;2059852.67835043;7376.0199993;391.2007564;4315714.42667886;;0;100
12.04.2020 22:36:01;12.04.2020 22:36:01;7353.00525777;12207.65107976;2050853.20398868;7376.0199993;391.2007564;4315714.42592963;;0;100
12.04.2020 22:36:02;12.04.2020 22:36:02;7353.00525779;12207.69112988;2051147.6927317;7376.0199993;390.5065369;4310593.19520317;;0;100
12.04.2020 22:36:03;12.04.2020 22:36:03;7353.00525781;12207.69112988;2051147.6927317;7376.0199993;390.58591345;4311178.75228627;;0;100
12.04.2020 22:36:03;12.04.2020 22:36:03;7353.00525783;12207.88842177;2052603.29268152;7376.0199993;391.34368422;4316768.78446625;;0;100
12.04.2020 22:36:04;12.04.2020 22:36:04;7353.00525983;12207.67702177;2051050.34733148;7376.01999928;391.20930767;4315777.32899023;;0;100
12.04.2020 22:36:05;12.04.2020 22:36:05;7353.00525983;12207.21337165;2047657.42369263;7376.01999927;391.09930767;4314961.78651901;;0;100
12.04.2020 22:36:06;12.04.2020 22:36:06;7353.00525986;12207.25302177;2047947.46255258;7376.01899925;390.48446472;4310426.22732112;;0;100
12.04.2020 22:36:06;12.04.2020 22:36:06;7353.00525986;12208.62260165;2057917.65563766;7376.01799923;391.12510768;4315152.83293345;;0;100
12.04.2020 22:36:07;12.04.2020 22:36:07;7353.00525987;12208.87425177;2059756.80339062;7376.01799921;391.28868422;4316361.79536739;;0;100
12.04.2020 22:36:08;12.04.2020 22:36:08;7353.0052599;12208.87425177;2059756.80339062;7376.01699921;391.28868422;4316361.79345711;;0;100
12.04.2020 22:36:09;12.04.2020 22:36:09;7353.00525988;12208.83420165;2059462.31464761;7376.01599919;390.59446472;4311241.21807293;;0;100
12.04.2020 22:36:09;12.04.2020 22:36:09;7353.00525993;12208.83460165;2059465.25584972;7376.01499918;391.28868422;4316361.79163647;;0;100
12.04.2020 22:36:10;12.04.2020 22:36:10;7353.00525994;12208.87425177;2059756.8033907;7376.01499915;391.10073113;4314975.4459969;;0;100
12.04.2020 22:36:11;12.04.2020 22:36:11;7353.00525995;12208.87425177;2059756.8033907;7376.01399914;391.18010768;4315560.92798989;;0;100
12.04.2020 22:36:12;12.04.2020 22:36:12;7353.00525995;12208.82740451;2059413.53118859;7376.01299913;391.10073113;4314975.44372357;;0;100
12.04.2020 22:36:12;12.04.2020 22:36:12;7353.00525996;12207.67022463;2051000.05563889;7376.01199911;390.62366471;4311456.59505719;;0;100
12.04.2020 22:36:13;12.04.2020 22:36:13;7353.00525998;12207.88122463;2052551.53974877;7376.01099908;391.23510768;4315966.60508105;;0;100
12.04.2020 22:36:14;12.04.2020 22:36:14;7353.00526198;12207.63057451;2050710.0167809;7376.01099906;391.28868422;4316361.78602358;;0;100
12.04.2020 22:36:15;12.04.2020 22:36:15;7353.00526;12207.66982463;2050997.11443683;7376.00999906;391.20930767;4315776.30188682;;0;100
12.04.2020 22:36:15;12.04.2020 22:36:15;7353.00526002;12207.66982463;2050997.11443691;7376.00899904;390.59446472;4311241.2134802;;0;100
