<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
13.04.2020 1:40:58;13.04.2020 1:40:58;7250.000001;12052.23369603;1019184.18267886;7256.72449999;244.57255412;3141256.99455325;;0;100
13.04.2020 1:40:59;13.04.2020 1:40:59;7250.000001;12052.23369603;1019184.18267886;7256.72449999;244.57255412;3141256.99383604;;0;100
13.04.2020 1:41:00;13.04.2020 1:41:00;7250.000001;12052.23369603;1019184.18267886;7256.72449899;244.57255412;3141256.71616755;;0.000998;92.74327550001
13.04.2020 1:41:02;13.04.2020 1:41:02;7250.000001;12052.23369603;1019184.18267886;7256.72449797;244.35655412;3139681.21190782;;0.001996;85.48655100102
13.04.2020 1:41:03;13.04.2020 1:41:03;7250.000001;12053.44639603;1027889.20864523;7256.72449394;244.46455412;3140467.604222;;0.001996;85.48655100102
13.04.2020 1:41:04;13.04.2020 1:41:04;7250.000001;12053.44639603;1027889.20864523;7256.7244909;244.23181478;3138783.97243626;;0.001996;85.48655100102
13.04.2020 1:41:05;13.04.2020 1:41:05;7250;12053.44639603;1027884.53435897;7256.72448788;244.57255412;3141256.6239486;;0.001996;85.48655100102
13.04.2020 1:41:06;13.04.2020 1:41:06;7250;12053.28739603;1026740.3125347;7255.53729999;244.57255412;3141256.26498751;;0.001996;85.48655100102
13.04.2020 1:41:07;13.04.2020 1:41:07;7250.000001;12053.44639604;1027889.20473768;7255.53729999;244.57255411;3141256.92664942;;0.001996;85.48655100102
13.04.2020 1:41:08;13.04.2020 1:41:08;7250;12053.44625643;1027883.52427618;7255.4575;244.57255411;3141256.92201804;;0.000996;92.722051002018
13.04.2020 1:41:10;13.04.2020 1:41:10;7250;12052.23369604;1019179.50837838;7255.4575;244.57255411;3141256.92094223;;0.000996;92.722051002018
13.04.2020 1:41:11;13.04.2020 1:41:11;7250;12052.23369604;1019179.50837838;7255.53729999;244.56566526;3141206.93918384;;0.000996;92.722051002018
13.04.2020 1:41:12;13.04.2020 1:41:12;7250;12052.23369604;1019179.5083831;7256.83449799;244.57255411;3141256.65819116;;0.000996;92.722051002018
13.04.2020 1:41:13;13.04.2020 1:41:13;7250.000001;12052.23329603;1019181.28406163;7256.83449495;244.57255412;3141256.68157158;;0.000996;92.722051002018
13.04.2020 1:41:14;13.04.2020 1:41:14;7250.000001;12053.44599603;1027886.30998053;7256.13089999;244.57255412;3141257.00828593;;0.000996;92.722051002018
13.04.2020 1:41:16;13.04.2020 1:41:16;7250.000001;12053.43878314;1027834.58526516;7256.13089999;244.57255412;3141257.00828593;;0.000996;92.722051002018
13.04.2020 1:41:17;13.04.2020 1:41:17;7250.000001;12053.43918314;1027837.47083729;7256.13089898;244.68055412;3142040.00636307;;0.000996;92.722051002018
13.04.2020 1:41:18;13.04.2020 1:41:18;7250.000001;12053.43918315;1027837.47087335;7255.62419999;244.57255411;3141256.70125519;;0.000996;92.722051002018
13.04.2020 1:41:19;13.04.2020 1:41:19;7250;12052.22648314;1019127.77447274;7256.83519899;244.57091748;3141237.95123798;;0.000996;92.722051002018
13.04.2020 1:41:20;13.04.2020 1:41:20;7250;12052.22648314;1019127.53190877;7255.95709799;244.57091748;3141237.54057574;;0.000996;92.722051002018
13.04.2020 1:41:21;13.04.2020 1:41:21;7250;12052.22648314;1019127.53190877;7255.95709597;244.56566536;3141206.27735068;;0.000996;92.722051002018
13.04.2020 1:41:22;13.04.2020 1:41:22;7250;12052.22648315;1019127.53193226;7255.25629999;244.5725542;3141256.88416068;;0.000996;92.722051002018
13.04.2020 1:41:24;13.04.2020 1:41:24;7250;12053.44651604;1027884.54022803;7255.25629999;244.5725542;3141256.88416068;;0.000996;92.722051002018
13.04.2020 1:41:25;13.04.2020 1:41:25;7250;12053.44651603;1027884.29764475;7256.646699;244.57255421;3141256.69742954;;0.000996;92.722051002018
13.04.2020 1:41:26;13.04.2020 1:41:26;7250.000001;12053.44651603;1027889.21065996;7256.6467;244.57255421;3141257.53417464;;0.000996;92.722051002018
13.04.2020 1:41:27;13.04.2020 1:41:27;7250.000001;12053.44651603;1027889.21065298;7256.8068;242.57641702;3126734.62631682;;0.000996;92.722051002018
13.04.2020 1:41:28;13.04.2020 1:41:28;7250.000001;12036.29899603;904333.01696025;7256.8068;227.37955573;3015691.11386081;;0.001994;85.465244202018
13.04.2020 1:41:29;13.04.2020 1:41:29;7250.000001;12052.23369602;1019192.87952731;7257.43429999;243.30788715;3132060.29721627;;0.001994;85.465244202018
13.04.2020 1:41:30;13.04.2020 1:41:30;7250.000001;12052.23369602;1019192.87952871;7256.8423;243.31542727;3132115.04393899;;0.001994;85.465244202018
13.04.2020 1:41:32;13.04.2020 1:41:32;7250.000001;12052.23369602;1019192.87952871;7256.8423;243.31542727;3132115.04393899;;0.001994;85.465244202018
13.04.2020 1:41:33;13.04.2020 1:41:33;7250.000001;12053.44651603;1027897.92060353;7256.78759999;244.57450957;3141260.94854114;;0.002992;78.208401902018
13.04.2020 1:41:34;13.04.2020 1:41:34;7250.000001;12053.44651603;1027897.92060353;7256.8423;244.5752276;3141265.09981635;;0.002992;78.208401902018
13.04.2020 1:41:35;13.04.2020 1:41:35;7250.000001;12053.44651602;1027897.92054653;7256.8423;244.35998154;3139694.89551219;;0.002992;78.208401902018
13.04.2020 1:41:36;13.04.2020 1:41:36;7250.000001;12053.44651602;1027897.92054653;7256.8423;244.46798154;3140481.28782808;;0.002992;78.208401902018
13.04.2020 1:41:37;13.04.2020 1:41:37;7250.000001;12052.23369603;1019192.87956896;7256.55759999;244.57677316;3141276.04594473;;0.002992;78.208401902018
13.04.2020 1:41:39;13.04.2020 1:41:39;7250.000001;12052.23369603;1019192.87956896;7256.55759999;244.57760437;3141282.19767326;;0.00399;70.951844302028
13.04.2020 1:41:40;13.04.2020 1:41:40;7250.000001;12052.23344961;1019191.61759129;7256.55759999;244.57760437;3141282.5384126;;0.00399;70.951844302028
13.04.2020 1:41:41;13.04.2020 1:41:41;7250.000001;12052.23333344;1019190.88902199;7257.4428;244.57760437;3141282.32523305;;0.00399;70.951844302028
13.04.2020 1:41:42;13.04.2020 1:41:42;7250.000001;12052.23333343;1019190.88898453;7257.4428;244.57760438;3141282.3253057;;0.00399;70.951844302028
