<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
12.04.2020 22:38:32;12.04.2020 22:38:32;7356.02011154;12208.96978572;2060461.06855112;7375.93299742;390.68900842;4311950.68765769;;0;100
12.04.2020 22:38:33;12.04.2020 22:38:33;7356.0200974;12208.96978572;2060461.06853804;7375.91199621;390.76838497;4312536.16094999;;0;100
12.04.2020 22:38:33;12.04.2020 22:38:33;7356.02011155;12208.96978572;2060461.06856735;7375.91199619;390.87696151;4313337.01195388;;0;100
12.04.2020 22:38:34;12.04.2020 22:38:34;7356.02011358;12208.96978572;2060461.06858045;7375.91199617;390.87696151;4313337.01195386;;0;100
12.04.2020 22:38:35;12.04.2020 22:38:35;7356.0201166;12208.96258858;2060409.34392181;7375.91199615;390.87696151;4313337.01195385;;0;100
12.04.2020 22:38:36;12.04.2020 22:38:36;7356.02011862;12208.96258858;2060409.34392689;7375.91199614;390.76838497;4312536.16210504;;0;100
12.04.2020 22:38:36;12.04.2020 22:38:36;7356.02012065;12208.96258858;2060409.34392894;7375.93299742;390.68900842;4311950.68765769;;0;100
12.04.2020 22:38:37;12.04.2020 22:38:37;7356.02012367;12208.96258858;2060409.34393149;7375.91199611;390.68900842;4311950.68650262;;0;100
12.04.2020 22:38:38;12.04.2020 22:38:38;7356.02012569;12206.12477846;2039628.79053218;7360;391.04127605;4314544.59447877;;0;100
12.04.2020 22:38:39;12.04.2020 22:38:39;7356.02012772;12207.72637846;2051410.19235784;7360;391.14985259;4314747.43370018;;0;100
12.04.2020 22:38:40;12.04.2020 22:38:40;7356.02013175;12207.70877846;2051280.92912769;7360;391.13185259;4314615.0260806;;0;100
12.04.2020 22:38:41;12.04.2020 22:38:41;7356.02013377;12206.14682858;2039790.44902286;7360;391.13185259;4314615.0260806;;0;100
12.04.2020 22:38:41;12.04.2020 22:38:41;7356.02013579;12207.70877846;2051280.92914127;7360;391.13185259;4314016.97752306;;0;100
12.04.2020 22:38:42;12.04.2020 22:38:42;7356.02013881;12208.94458858;2060276.89147671;7360;391.13185259;4314016.97752306;;0;100
12.04.2020 22:38:43;12.04.2020 22:38:43;7356.02014184;12208.95178572;2060328.61614067;7360;391.13185259;4314016.97752306;;0;100
12.04.2020 22:38:44;12.04.2020 22:38:44;7356.02014386;12210.79378572;2073840.27988888;7360;391.14985259;4313551.32257855;;0;100
12.04.2020 22:38:44;12.04.2020 22:38:44;7356.02014588;12208.96978572;2060473.33285653;7360;391.14985259;4313551.32257855;;0;100
12.04.2020 22:38:45;12.04.2020 22:38:45;7356.02014791;12208.96978572;2060473.33285859;7360;390.56420963;4309228.82073226;;0;100
12.04.2020 22:38:46;12.04.2020 22:38:46;7356.02015093;12207.7339756;2051477.37053956;7360;390.56420963;4308631.01461855;;0;100
12.04.2020 22:38:47;12.04.2020 22:38:47;7356.02015295;12207.77322572;2051765.35703119;7360;390.56420963;4308631.01461855;;0;100
12.04.2020 22:38:47;12.04.2020 22:38:47;7356.02015497;12207.77362572;2051768.29226989;7360;390.56420963;4308631.01461855;;0;100
12.04.2020 22:38:48;12.04.2020 22:38:48;7356.02015799;12207.77362572;2051768.29228215;7360;296.32629363;3540304.82548352;;0;100
12.04.2020 22:38:49;12.04.2020 22:38:49;7356.02016002;12207.77362572;2051768.2922842;7360;390.56420963;4308260.91150656;;0;100
12.04.2020 22:38:50;12.04.2020 22:38:50;7356.02016304;12207.77362572;2051768.29228675;7360;390.56420963;4308260.91150656;;0;100
12.04.2020 22:38:50;12.04.2020 22:38:50;7356.02016506;12207.77362572;2051768.29229828;7360;390.56420963;4308260.91150656;;0;100
12.04.2020 22:38:51;12.04.2020 22:38:51;7356.02016709;12207.77362572;2051768.29230033;7360;390.56420963;4308260.91150656;;0;100
12.04.2020 22:38:52;12.04.2020 22:38:52;7356.02017011;12207.77362572;2051768.2923126;7360;390.56420963;4308260.91150656;;0;100
12.04.2020 22:38:53;12.04.2020 22:38:53;7356.02017213;12208.96978572;2060473.33292089;7360;391.14985259;4312583.41335285;;0;100
12.04.2020 22:38:53;12.04.2020 22:38:53;7356.02017415;12208.96978572;2060473.33293425;7360;391.14985259;4312583.41335285;;0;100
12.04.2020 22:38:54;12.04.2020 22:38:54;7356.02017717;12208.9301356;2060182.41121034;7360;391.14985259;4312583.41335285;;0;100
12.04.2020 22:38:55;12.04.2020 22:38:55;7356.02017919;12208.96976947;2060473.21371847;7360;391.14985259;4312583.41335285;;0;100
