IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 9:18:33;10456,7;11805,87672007;1809268,33508426;10477,02;263,73995787;3742477,89703323
13,09,2019 9:19:34;10455,37;11813,27825148;1885869,75145996;10456,6895433;263,16826139;3736478,576317
13,09,2019 9:20:36;10460,36;11805,63607863;1806745,10038137;10469,18999999;263,94558734;3744590,50825507
13,09,2019 9:21:37;10446,8769224;11805,64880135;1806868,76031654;10456,6895433;262,97214153;3734377,55685242
13,09,2019 9:22:38;10446,8769224;11805,82021561;1808657,98981291;10456,6895433;263,43526688;3739226,435829
13,09,2019 9:23:40;10445;11805,8114086;1808628,02802118;10456,6895433;263,43366688;3738998,83573222
13,09,2019 9:24:41;10445,94158553;11805,83250455;1808848,44029051;10456,6895433;263,49195629;3739639,55016289
13,09,2019 9:25:43;10448,15;11806,14489061;1812105,57709165;10454,098;263,60282936;3740790,66336409
13,09,2019 9:26:44;10449,4;11805,67456681;1807207,43004392;10455,69;263,1910848;3736486,98191513
13,09,2019 9:27:45;10446,94;11805,80857788;1808721,93405173;10473,73928302;263,43638207;3739186,10069453
13,09,2019 9:28:47;10446,94;11805,86852041;1809337,1006445;10486,02918356;263,37995777;3738589,26129219
13,09,2019 9:29:48;10460;11813,11309666;1884363,24000921;10468,68;263,85104357;3743527,16692812
13,09,2019 9:30:50;10450,92;11813,14730249;1884745,95337498;10460,18;263,164183;3736332,33870621
13,09,2019 9:31:51;10460;11805,68156799;1807428,84910455;10469,95;264,23408109;3747544,24584343
13,09,2019 9:32:53;10429,43100002;11806,02796842;1810955,64121304;10468,87;264,13121893;3746485,86601336
