IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 6:07:50;10525,47;11812,59080567;1882550,21681062;10532,28999999;262,19558648;3731067,92010507
13,09,2019 6:08:51;10524,3305243;11813,51006465;1891968,35730386;10532,28999999;262,85538456;3737843,05092312
13,09,2019 6:09:52;10524,3305243;11813,47396651;1891644,74665164;10532,28999999;262,83978762;3737655,55941759
13,09,2019 6:10:53;10524,3305243;11806,11121585;1814941,86666227;10532,29;262,63746857;3735534,18395225
13,09,2019 6:11:54;10524,3305243;11813,50180766;1891929,80600349;10532,29;262,86486942;3737931,12486284
13,09,2019 6:12:55;10524,3305243;11806,1386056;1815224,07553101;10532,29;262,19972625;3730883,96120366
13,09,2019 6:13:56;10524,3305243;11813,4627415;1891522,11512435;10532,29;262,83199037;3737554,99179712
13,09,2019 6:14:57;10524,3305243;11813,51766329;1892086,73825277;10532;262,83141467;3737534,36392891
13,09,2019 6:15:58;10524,3305243;11813,4733709;1891456,48217448;10529,56;262,00393421;3728808,66659458
13,09,2019 6:16:59;10524,3305243;11813,49978602;1891776,19824974;10532;262,65042089;3735624,19453725
13,09,2019 6:18:00;10524,3305243;11806,09084465;1814608,4757113;10531,33;262,63698403;3735403,0440171
13,09,2019 6:19:01;10524,3305243;11806,12615715;1814978,14969494;10532;262,64609789;3735501,52148866
13,09,2019 6:20:02;10524,3305243;11813,24658375;1890965,80435165;10532;262,86453546;3737804,66319912
13,09,2019 6:21:03;10524,3305243;11805,88821554;1814312,27753196;10532;262,39562045;3732861,20981186
13,09,2019 6:22:04;10508,61;11805,85017976;1813915,08177795;10522,78999993;262,41162069;3733022,87706716
13,09,2019 6:23:05;10514,7;11805,88368771;1814265,03956074;10527,85999997;262,65060483;3735547,62474886
13,09,2019 6:24:06;10520,8;11805,87648564;1814171,87148778;10531,09899922;262,61190677;3735136,91903247
13,09,2019 6:25:07;10522,7;11805,92141566;1814640,83786083;10531,29;262,23988244;3731222,04114111
13,09,2019 6:26:08;10521,53;11805,68835195;1812211,72105735;10532,28999996;262,66409875;3735684,79446686
13,09,2019 6:27:09;10523,59;11805,51417015;1810392,68121006;10532,29;262,48634343;3733813,19225596
13,09,2019 6:28:11;10495,79;11813,25454184;1891032,25265099;10523,22;262,45293896;3733457,55819769
13,09,2019 6:29:12;10503,61;11805,91822384;1814609,98623638;10522,05;262,45093829;3733433,87398908
13,09,2019 6:30:13;10509,7;11805,88863645;1814301,70383977;10529,25;262,20242735;3730831,59967925
13,09,2019 6:31:14;10495,8600001;11813,25900001;1890955,31051911;10529,29999999;262,83654366;3737507,5664695
13,09,2019 6:32:15;10521,91;11813,27164197;1891108,63127621;10532,02;262,83266669;3737483,38139125
13,09,2019 6:33:16;10506,87624752;11813,26302131;1891021,52501047;10522,27;262,86829846;3737860,89427503
13,09,2019 6:34:17;10506,87624751;11805,90981895;1814549,72297572;10519,93;263,06476354;3739925,01755411
13,09,2019 6:35:18;10507,88;11805,88544647;1814307,58689523;10521,72;262,65081036;3735598,68324711
13,09,2019 6:36:19;10522,2805223;11805,9144168;1814621,65122649;10536,77;262,83311563;3737538,86706265
13,09,2019 6:37:20;10522,2805223;11805,91001806;1814574,36774547;10536,99;263,05621624;3739888,46424263
13,09,2019 6:38:21;10507,88;11805,88347876;1814327,33742808;10522,2805223;262,85900825;3737863,93900204
13,09,2019 6:39:22;10507,88;11805,93567495;1814873,65413366;10522,2805223;263,07400886;3740126,32133888
13,09,2019 6:40:23;10507,88;11805,90197895;1814516,50588393;10521,71;263,08607515;3740247,98473814
13,09,2019 6:41:24;10497,78;11805,92553669;1814803,20136491;10523,73999999;262,67583844;3735914,75960318
13,09,2019 6:42:25;10505,55;11805,9521283;1815083,88505796;10524;262,70507445;3736223,43613231
13,09,2019 6:43:26;10512,4;11805,95364729;1815089,25275643;10525;263,00667984;3739399,16783233
13,09,2019 6:44:27;10517;11813,82075812;1896972,91151488;10525;263,16712961;3741089,59405403
13,09,2019 6:45:28;10516;11806,4780178;1820539,95703652;10524;262,83402984;3737573,47990433
13,09,2019 6:46:29;10516;11813,85455941;1897359,12913015;10524;263,21002984;3741544,11352921
13,09,2019 6:47:30;10516;11806,48930635;1820657,86543285;10524;262,58983351;3735005,99780265
13,09,2019 6:48:31;10502,55;11813,87968652;1897603,04359779;10519,06999997;263,20353018;3741495,36350954
