<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
0.61582557;0.80556391;0.84778474;0.71591391;0.63377078;0.50393816
0.61582557;0.82861761;0.87364021;0.71969892;0.82920295;0.69927989
0.61582557;0.83137817;0.87669753;0.69457303;0.82725092;0.69698216
0.6490732;0.82828578;0.87333122;0.71984189;0.82737263;0.69726509
0.68168903;0.83429675;0.8799219;0.71594879;0.80486665;0.67529238
0.67142857;0.8787889;0.92924133;0.70319632;0.55436772;0.42458767
0.640145;0.83271505;0.87812733;0.70787638;0.82822752;0.6980262
0.63613752;0.83252676;0.87793543;0.69445104;0.84760215;0.71827385
0.61266516;0.86800485;0.91731509;0.68185806;0.85131523;0.72205371
0.64742388;0.83071876;0.8759498;0.70527941;0.84407766;0.71508152
0.55954986;0.81258589;0.85579451;0.54995759;0.5698413;0.44095864
0.56225904;0.82833584;0.87317404;0.56231481;0.74582857;0.61161986
0.56340523;0.87029243;0.91959603;0.56158072;0.55877439;0.42472992
0.53902261;0.79942772;0.84077986;0.52843479;0.54622504;0.41218065
0.48545523;0.82987135;0.87481765;0.51148392;0.9504918;0.81605137
0.44478617;0.8386365;0.87542408;0.45584917;0.84280226;0.7087139
0.43493814;0.82954226;0.86543235;0.44665371;0.74727734;0.61332146
0.40276992;0.91749766;0.92569264;0.40557658;1;0.93602334
0.40276992;0.9168048;0.92500285;0.4216369;0.88833766;0.81666811
0.40276992;0.85449193;0.85898601;0.41537944;0.81070079;0.73354623
0.25610118;0.9100241;0.91750219;0.29055807;0.77636353;0.69592189
0.22205076;0.85338885;0.85737611;0.1981787;0.78894399;0.70921364
0.09462378;0.30697943;0.32285577;0.2623137;0.52832002;0.4303909
0;0.391248;0.41027365;0.12046769;0.72305306;0.63003947
0;0.33623963;0.35132773;0.07521427;0.79619333;0.70847769
0.0281637;0.32939173;0.34429375;0.07521424;0.61312172;0.51312997
0.10962854;0.4850933;0.5104705;0.07521427;0.79735408;0.71109941
0.14289164;0.18049524;0.18410246;0.07521427;0.79751191;0.72367575
0.1030493;0.2750486;0.28247857;0.07521427;0.79604053;0.72203274
0.10294056;0.22325158;0.22845616;0.07521427;0.79564285;0.72156953
0.09314573;0.36330215;0.38003601;0.07521427;0.79564285;0.71599504
0.0631209;0.27054947;0.28205414;0.07521427;0.72295212;0.63744586
0.19782448;0.57620602;0.60115057;0.07521427;0.77624331;0.69498521
0.09177003;0.39146593;0.40982547;0.07521427;0.61182376;0.51938139
0.07337151;0.27194573;0.28457683;0.07521427;0.79588269;0.71665879
0.08546196;0.49693166;0.51877906;0.1218721;0.79049071;0.71089819
0.13264103;0.43260559;0.40106861;0.1218721;0.79458673;0.71526162
0.1272529;0.46314077;0.41977317;0.1218721;0.71978833;0.63532288
0.13277245;0.76035264;0.68801121;0.1218721;0.69983204;0.61405304
0.13277245;0.4656065;0.42236915;0.1218721;0.79418906;0.71534375
0.13553223;0.44091745;0.40047323;0.1218721;0.60759183;0.51470481
0.13697783;0.77222909;0.69863046;0.1218721;0.71338251;0.62799961
0.14131462;0.61040481;0.55179767;0.1218721;0.78754463;0.7072803
0.14499433;0.77549379;0.7016624;0.06806487;0.61050944;0.51799611
0.12502546;0.7420748;0.67153796;0.06169384;0.7252191;0.64049058
0.13329812;0.72480921;0.65622656;0.06169384;0.77500124;0.6939185
0.19296191;0.67192508;0.60741227;0.06169384;0.79727572;0.7175607
0.23199306;0.37070252;0.33726685;0.06169384;0.79304215;0.71355538
0.24198083;0.36882537;0.33561616;0.06169384;0.79424146;0.71486967
0.25643682;0.36102521;0.32871987;0.4365202;0.79267817;0.71261833
0.25643683;0.32623515;0.29656841;0.4365202;0.79308328;0.71304292
0.25643684;0.47838786;0.4348781;0.4365202;0.79188158;0.71172798
0.362754;0.42710682;0.38933727;0.47655651;0.58125347;0.48515382
0.39652843;0.69208001;0.62825853;0.47655651;0.78975558;0.70957668
0.41190434;0.68530353;0.62811298;0.47655651;0.60431934;0.51760711
0.4211036;0.32367045;0.30061337;0.47655651;0.79147241;0.71899912
0.42162928;0.71537283;0.6545922;0.47655651;0.71215742;0.63108819
0.40691045;0.36936788;0.34134148;0.47520929;0.79499627;0.71998722
0.40691045;0.43999491;0.40571697;0.45870202;0.81193818;0.73829562
0.40691045;0.43493012;0.39317317;0.42418681;0.61383782;0.52180477
0.40691045;0.36417311;0.32885116;0.42418678;0.59317041;0.49613381
0.40691045;0.68822017;0.62119261;0.42301963;0.79762608;0.71914068
0.40691045;0.69547774;0.62737962;0.35432271;0.79786674;0.7193822
0.40691045;0.43689223;0.39467906;0.34565221;0.61580087;0.5208175
0.40691045;0.44395531;0.4009825;0.34565217;0.54089212;0.43906011
0.40691045;0.32093487;0.28979041;0.46837294;0.78880915;0.71006186
0.40691045;0.45047597;0.40775661;0.46837294;0.79326134;0.71536876
0.40691045;0.37310743;0.33714947;0.46837294;0.79398894;0.7160393
0.40691045;0.67732313;0.61229315;0.46837294;0.78679951;0.7092191
0.40691045;0.58438801;0.52776111;0.46837294;0.78901999;0.64777751
0.40691045;0.63716134;0.57623614;0.46837294;0.59653638;0.39354996
0.41806349;0.43962383;0.39847373;0.46837294;0.78947329;0.64965647
0.47266826;0.37705139;0.34076749;0.46837294;0.78902326;0.64882804
0.47516279;0.65601832;0.5924446;0.57780979;0.70998793;0.54434898
0.66199679;0.47570062;0.43075897;0.7052152;0.57135687;0.36062578
0.64314286;0.38183427;0.34540471;0.81653002;0.78168568;0.63894275
0.59515104;0.66186125;0.59832711;0.85299409;0.78491317;0.64311586
0.83113972;0.6867738;0.62051344;0.70734341;0.5184151;0.29021226
0.70642724;0.68365254;0.61768162;0.5777911;0.78953288;0.64924352
0.65665009;0.59569973;0.53370571;0.58077021;0.78875762;0.6478488
0.65665009;0.77476806;0.69467124;0.58077021;0.76904126;0.62113352
0.65665009;0.87300442;0.7829493;0.58077021;0.69230382;0.52216923
0.36185728;0.50476134;0.45273177;0.29443691;0.79459417;0.65661862
0.30312056;0.74907058;0.67010792;0.29443691;0.79465897;0.65563996
0.3868903;0.48348434;0.43324485;0.29443691;0.79186367;0.64996993
0.36950013;0.84231153;0.75520671;0.29443691;0.574518;0.36300618
0.32691962;0.43468892;0.38967317;0.29420333;0.82897228;0.69891451
0.38586626;0.44930117;0.40245011;0.29420333;0.29037037;0.2478707
0.3871789;0.39452896;0.35304681;0.16662144;0.31002192;0.26590325
0.28403378;0.51292631;0.46035528;0.03717775;0.52108002;0.46006857
0.30141631;0.53725514;0.48192062;0.0743555;0.67055603;0.59825569
0.35578734;0.78579595;0.78254469;0.11370421;0.33424688;0.28877183
0.35451596;0.4849037;0.48337915;0.06729986;0.33424688;0.28875421
0.36602918;0.37204475;0.36930181;0.07842605;0.67490444;0.61175126
0.48790164;0.78928846;0.79253534;0.21221167;0.30808721;0.28667343
0.66930057;0.8898907;0.8929044;0.29443691;0.67967673;0.6180502
0.75812357;0.76715398;0.77108863;0.49063772;0.58821413;0.5364708
0.5564592;0.78030923;0.7834541;0.16058347;0.66772402;0.60699067
0.55180839;0.79204982;0.79546424;0.16058347;0.6829072;0.62077759
0.55304107;0.77915209;0.78574317;0.39104478;0.202073;0.18784112
0.56918774;0.76344621;0.7700041;0.38724559;0.53090751;0.48071391
0.53883506;0.42544903;0.43272165;0.30800543;0.68282447;0.61632688
0.52977821;0.51078761;0.51910974;0.31316147;0.43334197;0.39400773
0.54050965;0.42501151;0.43292363;0.30257802;0.6926493;0.62496881
0.53810072;0.40644737;0.41396925;0.28032564;0.69198518;0.62427286
0.37550158;0.43555614;0.40537883;0.25861601;0.68873675;0.62125824
0.39539416;0.95419377;0.8089032;0.13447709;0.54011559;0.4879578
0.39441505;1;0.85586307;0.11206425;0.52401912;0.47907437
0.5094615;0.82846846;0.83245021;0.08135036;0.44972934;0.40739968
0.30883091;0.82511498;0.82873863;0;0.5230602;0.47211506
0.30883091;0.88630488;0.88939862;0.0756078;0.67826326;0.61054166
0.11340796;0.79812575;0.80056759;0;0.59600311;0.53678717
0.11365274;0.88880713;0.89162968;0;0.67942656;0.60991873
0.15453095;0.51510986;0.52068274;0;0.30935071;0.28033995
0.21817367;0.40602325;0.4115761;0;0.69240959;0.69749048
0.29209714;0.43800357;0.44314503;0.09843655;0.59168366;0.59689859
0.28964934;0.90843186;0.9115031;0.09843655;0.15794096;0.16365371
0.06787894;0.407409;0.40090259;0.07360987;0.20146219;0.20686245
0.07742535;0.42059067;0.41362782;0;0.6760178;0.67973231
0.14571888;0.48335953;0.47605648;0.06104208;0.22693675;0.23148615
0.11071538;0.42071858;0.41360165;0.03749727;0.54503047;0.54859411
0.02778389;0.16701223;0.16161439;0;0.01035261;0
0.06210563;0.38009965;0.37354059;0.02005065;0;0
0;0.16425835;0.15907623;0.05930772;0.39207824;0.39920725
0.0146666;0.69484432;0.68266954;0;0.56894353;0.57328984
0.06393105;0.73305256;0.72123004;0.01038339;0.74516188;0.74476989
0.04841434;0.61465616;0.60296876;0;0.2899165;0.29700256
0.11093311;0.70786563;0.69675976;0.05512438;0.79025807;0.78978511
0.11093311;0.68880908;0.67810734;0.05373134;0.33351608;0.33986819
0.11235538;0.22165487;0.21744252;0.05512438;0.56557584;0.56834745
0.12704814;0.60824251;0.59772231;0.08955224;0.77957907;0.77918946
0.16050334;0.27336709;0.30085533;0.09890547;0.40698353;0.41373008
0.28692612;0.09866735;0.10670618;0.20420272;0.78361347;0.78614546
0.30293297;0.07444634;0.07998932;0.20420272;0.79614476;0.79812494
0.19569063;0.45999815;0.51563384;0.12915423;0.80273614;0.797335
0.19569176;0.23075287;0.26595487;0.15124378;0.69660952;0.69321197
0.2103384;0.24136797;0.27746042;0.14268657;0.60409097;0.60249431
0.22514234;0.15613985;0.18302525;0.20420272;0.21155461;0.21531748
0.22740074;0.58704529;0.6580321;0.16955224;0.7638739;0.75886736
0.22740074;0.59309937;0.66429531;0.16875622;0.1802807;0.18429728
0.19570873;0.16072981;0.18768224;0.14985075;0.80371508;0.79919074
0.19570873;0.5941154;0.66536501;0.12935323;0.5710397;0.56928233
0.23620851;0.1336174;0.1560594;0.20420272;0.75598295;0.75114009
0.24388707;0.17400218;0.20204425;0.20420272;0.38335825;0.38460043
0.24388707;0.19046268;0.21985353;0.20420272;0.66687097;0.66382548
0.24388707;0.69004737;0.77175039;0.20420272;0.66524881;0.66223141
0.24388707;0.69802937;0.78038159;0.20420272;0.38221687;0.38342846
0.22740074;0.59887632;0.67078093;0.20420272;0.53672837;0.53560671
0.39313559;0.76201276;0.85275328;0.20420272;0.57538311;0.57364404
0.23327259;0.59643755;0.66766974;0.16258706;0.78621106;0.78117826
0.24501628;0.57580064;0.64566978;0.07900498;0.40752288;0.40825773
0.23078834;0.47646157;0.53347693;0.15402985;0.74488071;0.74003461
0.2316917;0.6073309;0.6797183;0.15880597;0.77825066;0.77337324
0.23349843;0.04143053;0.05404756;0.08597015;0.27151479;0.27435083
0.24501628;0.09130643;0.11038314;0.08597015;0.68917736;0.68571311
0.24524212;0.13549222;0.15806377;0.03407114;0.7076412;0.70379786
0.24524212;0.13958898;0.16254744;0.03407114;0.70601904;0.70220118
0.24524212;0.11688176;0.1379574;0.03407114;0.80341266;0.79810364
0.19570873;0.13013415;0.15230797;0.03407114;0.80889774;0.80348644
0.24320955;0.58108819;0.65119612;0.03407114;0.18765686;0.19139206
0.23417595;0.11918717;0.14032467;0.03407114;0.47753176;0.4771555
0.23417595;0.10867582;0.12848909;0.03407114;0.77773754;0.77287275
0.24345798;0.13449322;0.15831405;0.08597015;0.38063669;0.38143501
0.24345798;0.63448351;0.71117874;0.08595025;0.28261747;0.28462241
0.26150902;0.59589686;0.66816118;0.08597015;0.24853834;0.25134004
0.26150902;0.57842328;0.64912122;0.08597015;0.77424742;0.76875479
0.43020522;0.07289503;0.0910376;0.20420272;0.75958503;0.75434465
0.43020522;0.29896831;0.34367346;0.34029851;0.91577259;0.91581359
