window_size;number_of_epochs;learning_rate;Q
5;36;0.0201;0.85834893889596
5;36;0.0251;0.852387174609391
5;36;0.0301;0.860810500792097
5;36;0.0351;0.85953065041241
5;36;0.0401;0.866864726178916
5;36;0.0451;0.850418021327421
5;36;0.0501;0.851714932003774
5;41;0.0001;0.849127394223136
5;41;0.0051;0.860121357948882
5;41;0.0101;0.84659987596811
5;41;0.0151;0.857617817859239
5;41;0.0201;0.851953134253207
5;41;0.0251;0.86799890090148
5;41;0.0301;0.850362112155346
5;41;0.0351;0.842900296445296
5;41;0.0451;0.851062798831205
5;41;0.0501;0.851269540602298
5;41;0.0551;0.792952813961887
5;46;0.0001;0.85061283671375
5;46;0.0051;0.865478176699815
5;46;0.0101;0.847212863105483
5;46;0.0151;0.851788859640024
5;46;0.0201;0.854594431564804
5;46;0.0301;0.854906813690504
5;46;0.0351;0.851669293208616
5;46;0.0401;0.849565279234565
5;46;0.0451;0.846344698287295
5;46;0.0501;0.851704843209579
5;46;0.0551;0.838131000742253
8;1;0.0001;0.672956611523187
8;1;0.0051;0.83055287823302
8;1;0.0151;0.851764651073745
8;1;0.0201;0.841394626084281
8;1;0.0251;0.852346962275822
8;1;0.0301;0.744853308004185
8;1;0.0351;0.794960587870625
8;1;0.0401;0.840111718785605
8;1;0.0451;0.713831981312629
8;1;0.0501;0.739581645542173
8;6;0.0001;0.844516756753025
8;6;0.0051;0.860047326879737
8;6;0.0101;0.858480595500602
8;6;0.0151;0.866423824199086
8;6;0.0201;0.864108860960704
8;6;0.0251;0.859078448313975
8;6;0.0301;0.846681229829642
8;6;0.0351;0.844835919896391
8;6;0.0451;0.796072091265434
8;6;0.0501;0.851778716061537
8;6;0.0551;0.84805076075463
8;11;0.0001;0.843479723186585
8;11;0.0051;0.851285893880527
8;11;0.0101;0.847781951400603
8;11;0.0151;0.882015083565732
8;11;0.0201;0.880802288695075
8;11;0.0301;0.845370281966034
8;11;0.0351;0.851410156334099
8;11;0.0401;0.843806444470117
8;11;0.0451;0.851619820477191
8;11;0.0501;0.846734908444725
8;11;0.0551;0.85159902970716
8;16;0.0001;0.861744834199182
8;16;0.0051;0.865662250399484
8;16;0.0151;0.85175752740948
8;16;0.0201;0.869585252052907
8;16;0.0251;0.883230076114291
8;16;0.0301;0.851559104636051
8;16;0.0351;0.838504416836213
8;16;0.0401;0.851692765081054
8;16;0.0451;0.851284341926651
8;16;0.0501;0.835910440762185
8;21;0.0001;0.846053714395685
8;21;0.0051;0.865902123676203
8;21;0.0101;0.850842299947673
8;21;0.0151;0.871583218553639
8;21;0.0201;0.885344579623097
8;21;0.0251;0.845677971648249
8;21;0.0301;0.851385249588376
8;21;0.0351;0.851669706677492
8;21;0.0451;0.850551814222166
8;21;0.0501;0.851798557258823
8;21;0.0551;0.851750445041942
8;26;0.0001;0.861760763498152
8;26;0.0051;0.874750266669925
8;26;0.0101;0.857580379885744
8;26;0.0151;0.850868286787502
8;26;0.0201;0.869403099562031
8;26;0.0301;0.849724528709004
8;26;0.0351;0.851541108265574
8;26;0.0401;0.851768830372831
8;26;0.0451;0.847008298245164
8;26;0.0501;0.830737838418958
8;26;0.0551;0.848123973714358
8;31;0.0001;0.862235508111742
8;31;0.0051;0.855556487420429
8;31;0.0151;0.887004360739801
8;31;0.0201;0.894003219857151
8;31;0.0251;0.857471084828172
8;31;0.0301;0.882485320843
8;31;0.0351;0.851369962531687
8;31;0.0401;0.850109495416067
8;31;0.0451;0.827518962169763
8;31;0.0501;0.851758321277298
8;36;0.0001;0.861747289891637
8;36;0.0051;0.880054879836349
8;36;0.0101;0.889480250957078
8;36;0.0151;0.87796138058885
8;36;0.0201;0.881148174725623
8;36;0.0251;0.872655612011595
8;36;0.0301;0.851121364151598
8;36;0.0351;0.878289337045241
8;36;0.0451;0.836864557401161
8;36;0.0501;0.849903770970691
8;36;0.0551;0.848810949575018
8;41;0.0001;0.85613850655275
8;41;0.0051;0.877563637901086
8;41;0.0101;0.881324858390492
8;41;0.0151;0.883107340540365
8;41;0.0201;0.885437807820008
8;41;0.0301;0.854302688958282
8;41;0.0351;0.838378567173129
8;41;0.0401;0.869302793073551
8;41;0.0451;0.836227805970249
8;41;0.0501;0.842969736727866
8;41;0.0551;0.85155909229723
8;46;0.0001;0.862345388036374
8;46;0.0051;0.874055570962074
8;46;0.0151;0.889747057206623
8;46;0.0201;0.849222011307235
8;46;0.0251;0.877749856222004
8;46;0.0301;0.877847634952331
8;46;0.0351;0.877887291890952
8;46;0.0401;0.849732544818639
8;46;0.0451;0.850662105898044
8;46;0.0501;0.846164565607251
11;1;0.0001;0.599073996808784
11;1;0.0051;0.846582010767411
11;1;0.0101;0.851334740740228
11;1;0.0151;0.837081441488973
11;1;0.0201;0.81048386289657
11;1;0.0251;0.844180292874997
11;1;0.0301;0.845519788642061
11;1;0.0351;0.846169137671442
11;1;0.0451;0.723391548590142
11;1;0.0501;0.801887054275781
11;1;0.0551;0.847793091234631
11;6;0.0001;0.851464559739848
11;6;0.0051;0.85125407797114
11;6;0.0101;0.857928426255704
11;6;0.0151;0.813583270823906
11;6;0.0201;0.851258087805386
11;6;0.0301;0.849847106870191
11;6;0.0351;0.851567915434248
11;6;0.0401;0.85205915014341
11;6;0.0451;0.843907567868797
11;6;0.0501;0.84175793103479
11;6;0.0551;0.824654825317428
11;11;0.0001;0.851330263242063
11;11;0.0051;0.861062278058767
11;11;0.0151;0.865914378426552
11;11;0.0201;0.84049108227061
11;11;0.0251;0.851599433292533
11;11;0.0301;0.851760834720133
11;11;0.0351;0.842900669800776
11;11;0.0401;0.851740286279709
11;11;0.0451;0.844307533931094
11;11;0.0501;0.842918846497996
11;16;0.0001;0.846614538237495
11;16;0.0051;0.861546423768749
11;16;0.0101;0.879336202928024
11;16;0.0151;0.887281511575484
11;16;0.0201;0.871498449013383
11;16;0.0251;0.850632127374658
11;16;0.0301;0.85179454369014
11;16;0.0351;0.84557113845022
11;16;0.0451;0.845845157696165
11;16;0.0501;0.845725260251967
11;16;0.0551;0.847353219130174
11;21;0.0001;0.854079470470504
11;21;0.0051;0.875468332494307
11;21;0.0101;0.883875663615644
11;21;0.0151;0.875672234540156
11;21;0.0201;0.872487109523089
11;21;0.0301;0.863467645650667
11;21;0.0351;0.849913809668732
11;21;0.0401;0.847562902856073
11;21;0.0451;0.849378111579004
11;21;0.0501;0.851521233237839
11;21;0.0551;0.850952590348786
11;26;0.0001;0.84967248545735
11;26;0.0051;0.854731374777775
11;26;0.0151;0.875172143789875
11;26;0.0201;0.871398868239228
11;26;0.0251;0.88707227825172
11;26;0.0301;0.884344750366336
11;26;0.0351;0.851526614115568
11;26;0.0401;0.829794932884677
11;26;0.0451;0.847904753658556
11;26;0.0501;0.851133632081995
11;31;0.0001;0.852897208549285
11;31;0.0051;0.851320693005152
11;31;0.0101;0.877372954416971
11;31;0.0151;0.851835223778664
11;31;0.0201;0.876461416971565
11;31;0.0251;0.870111799500865
11;31;0.0301;0.884020187963741
11;31;0.0351;0.851439403515739
11;31;0.0451;0.836878137483952
11;31;0.0501;0.851736876036169
11;31;0.0551;0.849966079004214
11;36;0.0001;0.853470498239536
11;36;0.0051;0.8758162016354
11;36;0.0101;0.888580693315526
11;36;0.0151;0.883598993744154
11;36;0.0201;0.875034801448267
11;36;0.0301;0.884889457870073
11;36;0.0351;0.851671525635504
11;36;0.0401;0.847699018770462
11;36;0.0451;0.837449278840012
11;36;0.0501;0.850477116640804
11;36;0.0551;0.851477275333745
11;41;0.0001;0.853218226115775
11;41;0.0051;0.882538133484963
11;41;0.0151;0.851794908264142
11;41;0.0201;0.884431011807224
11;41;0.0251;0.851731892264667
11;41;0.0301;0.847707674251744
11;41;0.0351;0.847709859542116
11;41;0.0401;0.846991175307845
11;41;0.0451;0.838476275795368
11;41;0.0501;0.844770711393813
11;46;0.0001;0.856541498321425
11;46;0.0051;0.870722284912723
11;46;0.0101;0.87919421006976
11;46;0.0151;0.874327150029055
11;46;0.0201;0.883603440968795
11;46;0.0251;0.851790078690298
11;46;0.0301;0.851799703083895
11;46;0.0351;0.850782565897491
11;46;0.0451;0.849959899537017
11;46;0.0501;0.846731026628306
11;46;0.0551;0.848228201139841
14;1;0.0001;0.552552084578638
14;1;0.0051;0.849063979345468
14;1;0.0101;0.850388314091723
14;1;0.0151;0.844859265469132
14;1;0.0201;0.850443543783908
14;1;0.0301;0.78022755350211
14;1;0.0351;0.839815217336403
14;1;0.0401;0.832748033310927
14;1;0.0451;0.838360519737401
14;1;0.0501;0.716281704707806
14;1;0.0551;0.802579370485496
14;6;0.0001;0.76573194720328
14;6;0.0051;0.844620363566175
14;6;0.0151;0.851231902611605
14;6;0.0201;0.863828346361466
14;6;0.0251;0.848084438858127
14;6;0.0301;0.847883262752476
14;6;0.0351;0.841140576757926
14;6;0.0401;0.827033709085907
14;6;0.0451;0.850064335248061
14;6;0.0501;0.851320389321809
14;11;0.0001;0.844294518815388
14;11;0.0051;0.85394845394871
14;11;0.0101;0.851276339715339
14;11;0.0151;0.84692768717533
14;11;0.0201;0.846761776549057
14;11;0.0251;0.850472803508152
14;11;0.0301;0.850207504574023
14;11;0.0351;0.851300756987548
14;11;0.0451;0.851235878881627
14;11;0.0501;0.816975446250242
14;11;0.0551;0.833058908848212
14;16;0.0001;0.846986644583975
14;16;0.0051;0.851085355896988
14;16;0.0101;0.879045058273217
14;16;0.0151;0.850257130783091
14;16;0.0201;0.855644961956161
14;16;0.0301;0.838787542030635
14;16;0.0351;0.850508656370041
14;16;0.0401;0.848344229034281
14;16;0.0451;0.850310824588858
14;16;0.0501;0.848537014528671
14;16;0.0551;0.848763945019784
14;21;0.0001;0.851051377801284
14;21;0.0051;0.861377321163473
14;21;0.0151;0.870510736767987
14;21;0.0201;0.874008373038854
14;21;0.0251;0.850887018554428
14;21;0.0301;0.88248056618883
14;21;0.0351;0.848045145520632
14;21;0.0401;0.848921597819533
14;21;0.0451;0.850457946590413
14;21;0.0501;0.848603191748377
14;26;0.0001;0.854345808411681
14;26;0.0051;0.884162797423968
14;26;0.0101;0.887826836840165
14;26;0.0151;0.8736471444406
14;26;0.0201;0.887684024011817
14;26;0.0251;0.851162438688316
14;26;0.0301;0.840701510363578
14;26;0.0351;0.848669998766108
14;26;0.0451;0.850459173951373
14;26;0.0501;0.849865106191442
14;26;0.0551;0.85128239869369
14;31;0.0001;0.857518154061158
14;31;0.0051;0.867712431709641
14;31;0.0101;0.890365968335199
14;31;0.0151;0.896745441103313
14;31;0.0201;0.884344117651749
14;31;0.0301;0.846644880678562
14;31;0.0351;0.851139254900278
14;31;0.0401;0.850756824342248
14;31;0.0451;0.848390409682195
14;31;0.0501;0.844433951597739
14;31;0.0551;0.85093997453173
14;36;0.0001;0.855780331866687
14;36;0.0051;0.88715725202628
14;36;0.0151;0.851281159523837
14;36;0.0201;0.883007320836973
14;36;0.0251;0.849042789254797
14;36;0.0301;0.847810793931287
14;36;0.0351;0.850872140436623
14;36;0.0401;0.845674198257925
14;36;0.0451;0.830523178755204
14;36;0.0501;0.848864419460843
14;41;0.0001;0.857417632903388
14;41;0.0051;0.875386758348232
14;41;0.0101;0.877538394979272
14;41;0.0151;0.88463291998216
14;41;0.0201;0.893312870072694
14;41;0.0251;0.849878336038267
14;41;0.0301;0.846980698719195
14;41;0.0351;0.849128792326503
14;41;0.0451;0.849040385406498
14;41;0.0501;0.850223230491346
14;41;0.0551;0.84778146727443
14;46;0.0001;0.857759627657561
14;46;0.0051;0.891590568860422
14;46;0.0101;0.840077096789764
14;46;0.0151;0.826630728089018
14;46;0.0201;0.851201304476998
14;46;0.0301;0.880766786697017
14;46;0.0351;0.847670120197427
14;46;0.0401;0.850843179973302
14;46;0.0451;0.838007485921688
14;46;0.0501;0.850679931600318
14;46;0.0551;0.842970074141128
17;1;0.0001;0.698207300744094
17;1;0.0051;0.849909862159645
17;1;0.0151;0.845751396840853
17;1;0.0201;0.851957841740069
17;1;0.0251;0.738484961344297
17;1;0.0301;0.796265917553016
17;1;0.0351;0.642817782377512
17;1;0.0401;0.850114960599831
17;1;0.0451;0.807264242791188
17;1;0.0501;0.817010820628952
17;6;0.0001;0.842829287402438
17;6;0.0051;0.850803750824429
17;6;0.0101;0.858548418713284
17;6;0.0151;0.865403715991479
17;6;0.0201;0.869027571433438
17;6;0.0251;0.851239081653852
17;6;0.0301;0.851089964238327
17;6;0.0351;0.851209418828933
17;6;0.0451;0.850090112117932
17;6;0.0501;0.846276654388783
17;6;0.0551;0.849209240665492
17;11;0.0001;0.851162764127523
17;11;0.0051;0.854569063171091
17;11;0.0101;0.865708899379159
17;11;0.0151;0.865337507090911
17;11;0.0201;0.850698421582397
17;11;0.0301;0.851183326349271
17;11;0.0351;0.851084436500138
17;11;0.0401;0.85106362653481
17;11;0.0451;0.845388508578152
17;11;0.0501;0.849740138830739
17;11;0.0551;0.851143449356571
17;16;0.0001;0.848219075599798
17;16;0.0051;0.85225209339703
17;16;0.0151;0.85123951670469
17;16;0.0201;0.852228667706464
17;16;0.0251;0.874676875757612
17;16;0.0301;0.856126795082301
17;16;0.0351;0.875847705196361
17;16;0.0401;0.847978094490214
17;16;0.0451;0.844733809995427
17;16;0.0501;0.850993330735192
17;21;0.0001;0.851659786016209
17;21;0.0051;0.850948890656735
17;21;0.0101;0.848234934677203
17;21;0.0151;0.850655881451382
17;21;0.0201;0.8513047068084
17;21;0.0251;0.851187257862439
17;21;0.0301;0.847672203488286
17;21;0.0351;0.851290873818125
17;21;0.0451;0.839260516747548
17;21;0.0501;0.851054240961583
17;21;0.0551;0.847371057964954
17;26;0.0001;0.854384121026434
17;26;0.0051;0.849847473389995
17;26;0.0101;0.852619041928225
17;26;0.0151;0.883512409058452
17;26;0.0201;0.850091083960363
17;26;0.0301;0.849300066687219
17;26;0.0351;0.844376200234254
17;26;0.0401;0.848502059505816
17;26;0.0451;0.850456092475419
17;26;0.0501;0.835080624721534
17;26;0.0551;0.851174388509528
17;31;0.0001;0.854963277387316
17;31;0.0051;0.848074302927772
17;31;0.0151;0.891046918629721
17;31;0.0201;0.878666343059108
17;31;0.0251;0.881919629678692
17;31;0.0301;0.843340260969133
17;31;0.0351;0.84573554262228
17;31;0.0401;0.850268735240997
17;31;0.0451;0.850834859566436
17;31;0.0501;0.851170508483468
17;36;0.0001;0.855109405249485
17;36;0.0051;0.874432648579392
17;36;0.0101;0.875346417977267
17;36;0.0151;0.889983348658991
17;36;0.0201;0.882406675674835
17;36;0.0251;0.849452878314963
17;36;0.0301;0.85058630304128
17;36;0.0351;0.851279255793095
17;36;0.0451;0.849937951536255
17;36;0.0501;0.851052380452348
17;36;0.0551;0.839656264976005
17;41;0.0001;0.85499103344114
17;41;0.0051;0.870891663093048
17;41;0.0101;0.883090667601902
17;41;0.0151;0.851131260461749
17;41;0.0201;0.871753865553412
17;41;0.0301;0.831976659344725
17;41;0.0351;0.848542846641344
17;41;0.0401;0.851318581906694
17;41;0.0451;0.847705175063754
17;41;0.0501;0.850888345198172
17;41;0.0551;0.845879043417111
17;46;0.0001;0.855445444342358
17;46;0.0051;0.882244847158703
17;46;0.0151;0.877651931033854
17;46;0.0201;0.88270940204516
17;46;0.0251;0.846967050446268
17;46;0.0301;0.844829014298386
17;46;0.0351;0.886405860292392
17;46;0.0401;0.850357370303381
17;46;0.0451;0.839482151155543
17;46;0.0501;0.836199433940053
20;1;0.0001;0.768964967399719
20;1;0.0051;0.850690499064213
20;1;0.0101;0.85010208142656
20;1;0.0151;0.850261106511288
20;1;0.0201;0.847335456728788
20;1;0.0251;0.737219244115781
20;1;0.0301;0.725244855475148
20;1;0.0351;0.850779605896145
20;1;0.0451;0.849526274752467
20;1;0.0501;0.850151320597818
20;1;0.0551;0.776286880839321
20;6;0.0001;0.838556647480327
20;6;0.0051;0.853249019478769
20;6;0.0101;0.851393928074295
20;6;0.0151;0.851266106214439
20;6;0.0201;0.862144701155142
20;6;0.0301;0.846499493647916
20;6;0.0351;0.851160849067903
20;6;0.0401;0.851311776868578
20;6;0.0451;0.85069437850862
20;6;0.0501;0.849979415518249
20;6;0.0551;0.71153201210074
20;11;0.0001;0.848669534533572
20;11;0.0051;0.849993051877785
20;11;0.0151;0.850245296010539
20;11;0.0201;0.843655140892275
20;11;0.0251;0.866652977449205
20;11;0.0301;0.849056052009093
20;11;0.0351;0.851209932337007
20;11;0.0401;0.850450649907516
20;11;0.0451;0.847624857569246
20;11;0.0501;0.849750617039995
20;16;0.0001;0.85438541669225
20;16;0.0051;0.844818810465079
20;16;0.0101;0.862073338918701
20;16;0.0151;0.882644702735482
20;16;0.0201;0.883875018478848
20;16;0.0251;0.850909944701315
20;16;0.0301;0.850495727012288
20;16;0.0351;0.848707599031893
20;16;0.0451;0.851160492835176
20;16;0.0501;0.851093042643611
20;16;0.0551;0.845326714546637
20;21;0.0001;0.852073667686172
20;21;0.0051;0.864246793678554
20;21;0.0101;0.867120894292759
20;21;0.0151;0.85081219427973
20;21;0.0201;0.884558733605781
20;21;0.0301;0.850875192581034
20;21;0.0351;0.84847238164258
20;21;0.0401;0.850744313055458
20;21;0.0451;0.846927908336898
20;21;0.0501;0.845155385048526
20;21;0.0551;0.842842117616943
20;26;0.0001;0.852972900135873
20;26;0.0051;0.86843676848438
20;26;0.0151;0.885251098121712
20;26;0.0201;0.847220503811385
20;26;0.0251;0.851208992182155
20;26;0.0301;0.848866964748753
20;26;0.0351;0.851303398410952
20;26;0.0401;0.849900607415446
20;26;0.0451;0.851302932324678
20;26;0.0501;0.84848338750021
20;31;0.0001;0.855011140612823
20;31;0.0051;0.851039153915546
20;31;0.0101;0.873061049044327
20;31;0.0151;0.851319110317859
20;31;0.0201;0.880713142169144
20;31;0.0251;0.885032650648443
20;31;0.0301;0.849760130212504
20;31;0.0351;0.851224223932255
20;31;0.0451;0.842293104423906
20;31;0.0501;0.851316381255252
20;31;0.0551;0.845394700148162
20;36;0.0001;0.853483851336224
20;36;0.0051;0.871958435810637
20;36;0.0101;0.883805994591561
20;36;0.0151;0.870626969437368
20;36;0.0201;0.877921679550167
20;36;0.0301;0.850438004223997
20;36;0.0351;0.849726391806379
20;36;0.0401;0.850402119049008
20;36;0.0451;0.849755204815167
20;36;0.0501;0.851257459048039
20;36;0.0551;0.845681206613138
20;41;0.0001;0.85355886311954
20;41;0.0051;0.877310068888899
20;41;0.0151;0.851315965093417
20;41;0.0201;0.848508675803928
20;41;0.0251;0.851318911426383
20;41;0.0301;0.851110290899491
20;41;0.0351;0.828153792367187
20;41;0.0401;0.849598373479558
20;41;0.0451;0.850451246231981
20;41;0.0501;0.842578531293007
20;46;0.0001;0.856339043828405
20;46;0.0051;0.874988867465231
20;46;0.0101;0.84680331499896
20;46;0.0151;0.888503686540301
20;46;0.0201;0.883329008284418
20;46;0.0251;0.869952542249974
20;46;0.0301;0.851316637561048
20;46;0.0351;0.849146441533519
20;46;0.0451;0.8481053623172
20;46;0.0501;0.851294994652938
20;46;0.0551;0.850256525095883
23;1;0.0001;0.747617679087027
23;1;0.0051;0.84779135026559
23;1;0.0101;0.847487946183075
23;1;0.0151;0.756077504484819
23;1;0.0201;0.848469360982784
23;1;0.0301;0.803739991200433
23;1;0.0351;0.84857419044031
23;1;0.0401;0.837698922322176
23;1;0.0451;0.825860643951076
23;1;0.0501;0.742331276555123
23;1;0.0551;0.850192493434038
23;6;0.0001;0.844328276587231
23;6;0.0051;0.852597461000999
23;6;0.0151;0.857005036018936
23;6;0.0201;0.860804518208
23;6;0.0251;0.844904752901299
23;6;0.0301;0.849829799195195
23;6;0.0351;0.849673403831247
23;6;0.0401;0.838551766899319
23;6;0.0451;0.850120889184322
23;6;0.0501;0.850237392855696
23;11;0.0001;0.848969256063461
23;11;0.0051;0.855302041735258
23;11;0.0101;0.855266714786275
23;11;0.0151;0.846558635957699
23;11;0.0201;0.851054670149575
23;11;0.0251;0.84808163057716
23;11;0.0301;0.849898609867138
23;11;0.0351;0.848943515100738
23;11;0.0451;0.850037061942772
23;11;0.0501;0.848463719574898
23;11;0.0551;0.848839356774387
23;16;0.0001;0.850002971807891
23;16;0.0051;0.849104087936119
23;16;0.0101;0.850263491941567
23;16;0.0151;0.846755828367108
23;16;0.0201;0.844050039956201
23;16;0.0301;0.84991238441648
23;16;0.0351;0.830485754993595
23;16;0.0401;0.84994899841332
23;16;0.0451;0.84744225906833
23;16;0.0501;0.849095574869137
23;16;0.0551;0.832149377628516
23;21;0.0001;0.852153860116494
23;21;0.0051;0.853262610477435
23;21;0.0151;0.878171999047077
23;21;0.0201;0.85004771869966
23;21;0.0251;0.850042260630862
23;21;0.0301;0.850299426417179
23;21;0.0351;0.848723575229955
23;21;0.0401;0.845259409248761
23;21;0.0451;0.848899843925192
23;21;0.0501;0.84298935861612
23;26;0.0001;0.853294516835139
23;26;0.0051;0.857895487675674
23;26;0.0101;0.881997092276318
23;26;0.0151;0.883775304538023
23;26;0.0201;0.844779673397213
23;26;0.0251;0.850094803888222
23;26;0.0301;0.847743500017736
23;26;0.0351;0.852242568567514
23;26;0.0451;0.850066848126859
23;26;0.0501;0.849864881278544
23;26;0.0551;0.850299391343047
23;31;0.0001;0.854333449462286
23;31;0.0051;0.873153929819113
23;31;0.0101;0.849088393705571
23;31;0.0151;0.850203242059372
23;31;0.0201;0.877887248878125
23;31;0.0301;0.849154200188743
23;31;0.0351;0.847908283750023
23;31;0.0401;0.848806617984981
