<presentDate>;<deposit1>;<deposit2>;<action>;<reward>;<closeValue>;<CNN_1[0]>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
04.07.2016 0:00:00;7;11,1813;buy;0;71,219;1;0.501999;1;0.191000;0.670999;1
05.07.2016 0:00:00;7;11,1813;buy;0;71,229;1;0.757000;0;0.408000;0.510000;1
06.07.2016 0:00:00;7;11,1813;buy;0;71,307;1;0.379999;0;0.924999;0.578000;1
07.07.2016 0:00:00;7;11,1813;buy;0;71,36;1;0.810000;0.456000;0;0.552999;0
08.07.2016 0:00:00;7;11,1813;buy;0;70,455;1;0.411000;1;0.010399;0;0
09.07.2016 0:00:00;7;11,1813;buy;0;70,543;1;0;0;0.493600;0.588000;0
10.07.2016 0:00:00;7;11,1813;buy;0;70,608;1;0.694000;0.552999;1;0.564999;0
11.07.2016 0:00:00;7;11,1813;buy;0;70,993;1;0.557000;1;0.486000;0.884999;1
12.07.2016 0:00:00;7;11,1813;buy;0;70,4409;1;0.897999;0.405000;0.279999;0;1
13.07.2016 0:00:00;7;11,1813;buy;0;70,7371;1;0.266000;0.483000;0.260000;0.796199;1
14.07.2016 0:00:00;7;11,1813;buy;0;69,819;1;0.524000;0.439999;0;0;0
15.07.2016 0:00:00;7;11,1813;buy;0;70,253;1;0;0.085999;0.616999;0.933999;1
16.07.2016 0:00:00;7;11,1813;buy;0;70,6933;1;0.778000;0.537999;1;0.940299;0
17.07.2016 0:00:00;7;11,1813;buy;0;70,011;1;0;0.769300;0;0;1
18.07.2016 0:00:00;7;11,1813;buy;0;69,542;1;0.741;0.035700;0.835599;0.031000;1
19.07.2016 0:00:00;6;81,0843;sell;0;69,903;1;0;0.143000;0.468000;0.861000;0
20.07.2016 0:00:00;6;81,0843;nothing;0;70,215;1;0.891999;0.649999;0.589999;0.811999;1
21.07.2016 0:00:00;6;81,0843;nothing;0;70,889;1;0.761000;1;1;1;0
22.07.2016 0:00:00;6;81,0843;nothing;0;71,077;1;0.979999;0.947000;1;0.688000;0
23.07.2016 0:00:00;6;81,0843;nothing;0;71,123;1;0.986000;0.238;0.813000;0.546000;0
24.07.2016 0:00:00;6;81,0843;nothing;0;71,165;1;0.326999;0.513000;0.525999;0.542000;1
25.07.2016 0:00:00;6;81,0843;nothing;0;71,908;1;0.631;1;0.209000;1;1
26.07.2016 0:00:00;6;81,0843;nothing;0;72,297;1;1;1;1;0.888999;1
27.07.2016 0:00:00;6;81,0843;nothing;0;72,831;1;1;0.402999;1;1;1
28.07.2016 0:00:00;6;81,0843;nothing;0;73,9282;1;0.707999;1;0.888999;1;0
29.07.2016 0:00:00;6;81,0843;nothing;0;73,6657;1;1;1;1;0.237499;1
30.07.2016 0:00:00;6;81,0843;nothing;0;73,2941;1;0.006000;0;0.306899;0.128399;0
31.07.2016 0:00:00;6;81,0843;nothing;0;73,2925;1;0.150800;0.497;0.429700;0.498400;1
01.08.2016 0:00:00;6;81,0843;nothing;0;74,718;1;0.973199;1;0.557400;1;1
02.08.2016 0:00:00;5;155,9803;sell;0;74,896;1;1;0.449999;1;0.677999;1
03.08.2016 0:00:00;6;82,1105;buy;0;73,8698;1;0.299000;0.299000;0.210999;0;0
04.08.2016 0:00:00;6;82,1105;nothing;0;73,1011;1;0;0.102099;0;0;0
05.08.2016 0:00:00;6;82,1105;nothing;0;72,494;1;0.155000;0;0;0;1
06.08.2016 0:00:00;6;82,1105;nothing;0;72,569;1;0;0;0.684899;0.575000;0
07.08.2016 0:00:00;6;82,1105;nothing;0;73,6907;1;0.125300;1;0.470600;1;1
08.08.2016 0:00:00;6;82,1105;nothing;0;71,522;1;1;0.814999;0;0;1
09.08.2016 0:00:00;6;82,1105;nothing;0;71,923;1;0;0;0.576000;0.900999;0
10.08.2016 0:00:00;6;82,1105;nothing;0;72,448;0;0.849000;0.670000;0.635999;1;1
11.08.2016 0:00:00;6;82,1105;nothing;0;71,5708;1;1;0.665999;0.221000;0;1
12.08.2016 0:00:00;7;9,90190000000003;buy;0;72,2086;1;0;0.372;0.610999;1;0
13.08.2016 0:00:00;7;9,90190000000003;buy;0;72,6764;0;1;0.586500;1;0.967799;0
14.08.2016 0:00:00;7;9,90190000000003;buy;0;71,8035;1;0.887299;0.512900;0.125100;0;1
15.08.2016 0:00:00;7;9,90190000000003;buy;0;71,5717;1;0;0.242599;0;0.268200;1
16.08.2016 0:00:00;7;9,90190000000003;buy;0;71,863;0;0.400499;0.369;0.998199;0.791299;1
17.08.2016 0:00:00;7;9,90190000000003;buy;0;72,007;1;0.933000;0.670000;0.888000;0.644000;1
18.08.2016 0:00:00;7;9,90190000000003;buy;0;72,101;1;0.645999;0.658999;0.431999;0.593999;1
19.08.2016 0:00:00;7;9,90190000000003;buy;0;72,249;0;0.616000;0.469999;0.706000;0.647999;0
20.08.2016 0:00:00;7;9,90190000000003;buy;0;72,26;1;0.486999;0.271000;0.782200;0.511000;0
21.08.2016 0:00:00;7;9,90190000000003;buy;0;72,0995;1;0.527000;0.451000;0.372600;0.339500;1
22.08.2016 0:00:00;6;83,2209;sell;0;73,319;0;0.283799;1;0.4602;1;1
23.08.2016 0:00:00;6;83,2209;nothing;0;72,973;1;1;0.748000;1;0.153999;1
24.08.2016 0:00:00;6;83,2209;nothing;0;73,35;1;0.214799;0.372;0.391000;0.876999;1
25.08.2016 0:00:00;6;83,2209;nothing;0;73,3957;0;0.817999;0.575999;0.742999;0.545700;0
26.08.2016 0:00:00;6;83,2209;nothing;0;72,343;1;0.575000;0.427999;0;0;1
27.08.2016 0:00:00;6;83,2209;nothing;0;72,7002;1;0;0;0.491;0.857199;0
28.08.2016 0:00:00;6;83,2209;nothing;0;71,833;0;0.390000;0.166800;0.088999;0;0
29.08.2016 0:00:00;6;83,2209;nothing;0;71,4985;0;0.725999;1;0.109999;0.165500;1
30.08.2016 0:00:00;6;83,2209;nothing;0;72,7814;1;0;0.459999;0.501000;1;1
31.08.2016 0:00:00;6;83,2209;nothing;0;72,913;0;1;0.635999;1;0.631599;1
01.09.2016 0:00:00;0;520,6989;exit;72,913;
