<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.489999;0.546999;0.506999;0.524999
0.5;0.526000;0.479900;0.512;0.485999
0.5;0.485999;0.482500;0.490000;0.490000
0.5;0.490000;0.493699;0.491;0.492000
0.5;0.492000;0.532499;0.497;0.498999
0.5;0.5;0.503100;0.494;0.5
0.5;0.498999;0.458399;0.499000;0.492000
0.5;0.492000;0.484300;0.494;0.491999
0.5;0.491999;0.497199;0.494999;0.500999
0.5;0.500999;0.493199;0.495000;0.489000
0.5;0.488;0.487400;0.484999;0.492999
0.5;0.494;0.517700;0.507999;0.519000
0.5;0.519000;0.498999;0.511000;0.492999
0.5;0.492999;0.499300;0.500999;0.509
0.5;0.509;0.504599;0.5;0.491
0.5;0.490000;0.495600;0.498000;0.510000
0.5;0.511000;0.511199;0.509;0.504999
0.5;0.504999;0.501600;0.507999;0.504000
0.5;0.504000;0.5015;0.497;0.498999
0.5;0.498999;0.498899;0.499000;0.5
0.5;0.498000;0.499699;0.497999;0.493000
0.5;0.494999;0.496000;0.502000;0.5
0.5;0.5;0.500999;0.499000;0.502000
0.5;0.502000;0.504300;0.500999;0.503999
0.5;0.503999;0.4983;0.502000;0.499000
0.5;0.487000;0.505000;0.491;0.506
0.5;0.518000;0.503700;0.515999;0.497999
0.5;0.497999;0.494;0.491999;0.491999
0.5;0.491;0.533799;0.497;0.498000
0.5;0.557699;0.497499;0.501000;0.5
0.5;0.441300;0.501400;0.498999;0.500999
0.5;0.561199;0.501100;0.466000;0.5
0.5;0.439799;0.4771;0.505000;0.509
0.5;0.509;0.510199;0.506999;0.515999
0.5;0.515999;0.506599;0.503999;0.491
0.5;0.491;0.471899;0.495000;0.494
0.5;0.494;0.4998;0.501999;0.503999
0.5;0.503999;0.504000;0.503;0.468000
0.5;0.506;0.501199;0.462000;0.548999
0.5;0.511000;0.5;0.521999;0.493000
0.5;0.484000;0.494;0.480000;0.500999
0.5;0.507999;0.499000;0.497999;0.497999
0.5;0.5;0.502499;0.542999;0.491
0.5;0.491;0.499400;0.454000;0.458000
0.5;0.458000;0.458300;0.505000;0.494
0.5;0.494;0.498100;0.497999;0.476999
0.5;0.478000;0.517699;0.5;0.553000
0.5;0.552;0.496000;0.491;0.491999
0.5;0.491999;0.498999;0.503999;0.506999
0.5;0.451000;0.530900;0.502000;0.506
0.5;0.561999;0.513100;0.546999;0.495000
0.5;0.495000;0.500499;0.502000;0.509
0.5;0.507999;0.505400;0.509;0.501999
0.5;0.503;0.5047;0.508000;0.502000
0.5;0.502000;0.496299;0.491999;0.494999
0.5;0.533000;0.496600;0.497;0.499000
0.5;0.460999;0.4955;0.497999;0.534100
0.5;0.494;0.499700;0.497;0.4589
0.5;0.533099;0.492399;0.495000;0.491999
0.5;0.457900;0.499700;0.5;0.512999
0.5;0.509999;0.513199;0.510999;0.499000
0.5;0.502000;0.486199;0.494;0.497
0.5;0.494999;0.497600;0.495000;0.494999
0.5;0.497;0.480799;0.5;0.5
0.5;0.5;0.5;0.506999;0.499000
0.5;0.533999;0.520800;0.488999;0.493000
0.5;0.458000;0.488199;0.495000;0.495999
0.5;0.495999;0.488400;0.497;0.497
0.5;0.497;0.494399;0.497;0.499000
0.5;0.499000;0.503899;0.500999;0.502000
0.5;0.548000;0.520700;0.5;0.497999
0.5;0.451999;0.479799;0.502000;0.503
0.5;0.503;0.510300;0.494;0.488
0.5;0.504600;0.4861;0.494999;0.500999
0.5;0.506299;0.496499;0.503;0.510000
0.5;0.555100;0.548300;0.511000;0.507999
0.5;0.440999;0.465899;0.504999;0.504000
0.5;0.504000;0.503700;0.507000;0.503999
0.5;0.503999;0.497499;0.497;0.497
0.5;0.496000;0.499700;0.498999;0.505000
