<bid_top>;<c>;<c2>;p
0.35923365;0.8351804;0.29662594;-0.02919877
0.35923365;0.6265974;0.39259237;-0.02918417
0.33003488;0.562387;0.40676954;1.46E-05
0.33003488;0.51950574;0.47459948;0.0005256
0.33004948;0.037521213;0.22430198;-0.02572751
0.33004948;0.67514527;0.41241726;-0.02548301
0.33056048;0.06302866;0.30009353;-0.0259941
0.30432197;0.10195586;0.0902602;0.00024415
0.30456647;0.4419052;0.38834128;-3.5E-07
0.30456638;0.6575358;0.59423536;-0.00024441
0.30456612;0.21295035;0.23915038;-0.00024415
0.30456612;0.28343627;0.32602417;-0.00024415
0.30432197;0.8792427;0.43578568;0
0.30432197;0.24518907;0.19048534;0
0.30432197;0.40181363;0.42455173;-0.10647416
0.30432197;0.8744961;0.26496986;-0.10647416
0.30432197;0.24432522;0.30070376;-0.13525097
0.19784781;0.36470813;0.12627321;-0.04066945
0.19784781;0.8372667;0.24651733;-0.04066945
0.169071;0.4391068;0.081850976;-0.01189264
0.15717836;0.4300497;0.42722276;0
0.15717836;0.4295218;0.28670505;0.02279129
0.15717836;0.8738358;0.3481022;-0.08993213
0.15717836;0.6544946;0.36044246;-0.14178087
0.17996965;0.30065554;0.5172041;-0.17996965
0.06724623;0.44481796;0.049019456;-0.06724623
0.01539749;0.073149234;0.12976491;0.98460251
0;0.5843273;0.29117697;0.9565305
0;1;0.22039479;1
1;0.65707177;1.208241;-0.18899685
0.9565305;0.62359583;1.3004284;-0.1455036
1;0.4659827;0.5917819;-0.1366625
0.81100315;0.36243808;0.2766076;0.05268091
0.8110269;0.47881225;0.40171695;0.00435266
0.8633375;0.43350178;0.47383943;-0.04795794
0.86368406;0.46388856;0.4802671;-0.04915296
0.81537956;0.4807092;0.454633;-0.07099356
0.81537956;0.43367544;0.4986625;-0.02572016
0.8145311;0.48542896;0.40671438;-0.1275442
0.744386;0.51548344;0.46372998;0.02033927
0.7896594;0.48684916;0.49844837;-0.02479823
0.6869869;0.5247748;0.43455005;0.08233126
0.76472527;0.5003606;0.7304313;0.00559836
0.76486117;0.44040173;0.38952246;0.01497298
0.76931816;0.42890465;0.40862542;0.03991134
0.77032363;0.5029948;0.4206517;0.04689607
0.77983415;0.46742967;0.46930996;0.06217815
0.8092295;0.46220148;0.47577116;0.0171687
0.8172197;0.45593894;0.45837212;-0.0079902
0.8420123;0.34317443;0.5512129;-0.0669647
0.8263982;0.4873945;0.45040202;-0.03653414
0.8092295;0.35917532;0.51739615;-0.0193214
